ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2018
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2019
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2018
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2019
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,-9999,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0886569,2018
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.0886569,2019
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,-9999,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,-9999,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2018
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.0855974,2018
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,43.75,2019
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.0855974,2019
7,NEE_CUT_REF,DD_USTAR_PERCENTILE,-9999,-9999
7,NEE_CUT_REF,DD_USTAR_THRESHOLD,-9999,-9999
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,43.75,2018
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.0855974,2018
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,43.75,2019
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.0855974,2019
9,NEE_CUT_REF,WW_USTAR_PERCENTILE,-9999,-9999
9,NEE_CUT_REF,WW_USTAR_THRESHOLD,-9999,-9999
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,43.75,2018
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.0855974,2018
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,43.75,2019
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.0855974,2019
11,NEE_CUT_REF,MM_USTAR_PERCENTILE,-9999,-9999
11,NEE_CUT_REF,MM_USTAR_THRESHOLD,-9999,-9999
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,43.75,2018
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.0855974,2018
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,43.75,2019
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.0855974,2019
13,NEE_CUT_REF,YY_USTAR_PERCENTILE,-9999,-9999
