TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19810101,27.652,25.61,1.319,29.38,2.935,221.063,415.652,7.692,98.481,1.972,1.757
19810102,27.71,25.754,1.712,29.365,2.625,193.723,419.345,7.308,98.53,1.864,1.659
19810103,27.179,25.569,1.02,28.542,2.61,217.005,416.953,7.038,98.592,0.959,1.542
19810104,25.739,24.447,0.592,26.833,2.158,176.771,419.129,3.853,98.62,3.918,0.858
19810105,25.791,24.519,0.775,26.867,2.031,184.102,413.86,3.709,98.613,7.062,1.356
19810106,26.315,24.595,1.249,27.77,2.456,170.513,419.018,4.822,98.595,3.491,1.524
19810107,25.795,24.573,1.271,26.83,1.829,145.714,420.672,3.945,98.675,18.14,1.392
19810108,24.795,23.926,1.167,25.53,2.181,130.256,420.958,3.154,98.733,10.78,0.872
19810109,24.071,23.162,0.935,24.841,1.531,153.946,418.657,2.657,98.784,11.959,0.746
19810110,25.499,24.298,1.793,26.515,2.631,214.769,413.661,4.863,98.725,2.727,0.861
19810111,26.785,24.901,1.676,28.379,2.888,233.486,416.803,6.37,98.516,0.571,1.632
19810112,27.198,25.522,1.866,28.616,2.953,212.481,415.964,6.312,98.392,1.526,1.757
19810113,26.807,25.167,1.239,28.195,2.531,206.918,416.432,6.013,98.431,2.451,1.582
19810114,24.927,24.214,0.477,25.531,1.692,139.513,419.627,2.398,98.663,4.959,0.881
19810115,25.17,23.889,1.039,26.254,1.991,160.089,417.425,3.154,98.699,9.995,0.646
19810116,26.236,24.519,1.206,27.689,2.693,203.163,420.434,4.791,98.623,4.897,1.024
19810117,26.662,25.129,1.677,27.959,2.558,189.041,423.16,5.234,98.605,1.882,1.38
19810118,27.11,25.541,1.23,28.437,2.244,173.324,420.294,5.112,98.615,7.559,1.453
19810119,27.403,25.783,1.633,28.775,2.946,189.057,416.89,7.84,98.553,0.117,2.221
19810120,27.373,25.688,1.325,28.799,2.954,228.98,407.376,8.236,98.538,0.02,1.98
19810121,27.283,25.489,1.585,28.802,2.965,214.04,406.954,8.222,98.554,0.011,2.164
19810122,27.901,25.788,2.209,29.689,3.684,247.535,400.34,10.208,98.503,0.001,2.393
19810123,28.242,25.894,2.005,30.403,3.93,263.592,389.451,12.761,98.475,0.0,2.668
19810124,27.957,25.806,2.035,29.936,3.608,246.956,397.381,11.33,98.515,0.0,2.003
