TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
198101,26.435,24.894,1.301,27.774,2.506,192.284,415.588,5.901,98.591,5.356,1.472
198102,25.084,24.153,0.985,25.94,1.787,154.916,419.641,2.94,98.622,8.983,0.953
198103,25.88,24.807,0.849,26.878,1.835,160.809,422.437,3.503,98.626,7.424,1.107
198104,25.51,24.346,0.973,26.582,1.94,146.956,421.535,3.043,98.645,10.209,0.933
198105,25.527,24.328,1.039,26.629,1.921,139.253,419.458,2.889,98.756,9.643,0.818
198106,24.56,23.476,1.012,25.615,1.837,118.309,416.294,2.423,98.928,7.912,0.936
198107,23.923,22.535,1.498,25.311,2.359,150.363,402.318,3.644,99.097,4.249,1.074
198108,24.984,23.703,1.238,26.235,2.293,156.206,412.674,3.337,98.893,6.112,0.93
198109,25.084,23.678,1.263,26.377,2.46,170.495,414.319,3.575,98.889,7.679,0.948
198110,25.727,24.425,1.3,26.924,2.286,168.526,416.916,3.775,98.679,8.765,1.062
198111,26.06,24.636,1.148,27.369,2.183,169.951,420.229,3.828,98.516,7.688,1.148
198112,25.697,24.483,1.082,26.797,1.968,160.502,419.23,3.571,98.623,10.176,1.064
198201,25.925,24.603,1.197,27.074,2.068,169.574,417.0,4.218,98.656,7.892,1.217
198202,25.404,24.21,0.975,26.501,1.785,151.786,419.09,2.886,98.665,11.386,0.919
198203,25.702,24.45,1.057,26.868,1.933,156.848,419.78,3.457,98.631,8.738,1.025
198204,25.078,23.967,0.919,26.101,1.77,142.496,418.816,2.663,98.79,12.398,0.965
198205,25.064,23.989,0.944,26.052,1.761,137.374,417.251,3.119,98.854,7.207,1.121
198206,25.029,23.767,1.207,26.247,1.998,138.643,414.802,2.943,98.953,6.33,0.768
198207,24.508,23.291,1.089,25.724,2.027,136.308,414.72,2.527,98.96,6.012,0.782
198208,24.874,23.444,1.24,26.273,2.27,154.171,413.443,3.195,98.979,5.778,0.875
198209,25.546,24.125,1.203,26.853,2.297,178.902,415.579,3.694,98.833,5.228,0.86
198210,25.505,24.149,1.128,26.753,2.071,177.628,416.252,3.487,98.684,6.744,0.933
198211,25.434,24.22,1.002,26.551,1.926,148.165,419.808,3.028,98.569,9.036,1.008
198212,25.571,24.297,1.048,26.727,1.968,154.498,419.886,3.302,98.597,9.25,0.986
198301,26.596,25.199,1.21,27.809,2.232,179.146,422.748,4.967,98.545,5.371,1.143
198302,26.733,25.376,1.157,27.982,2.138,178.164,423.024,5.243,98.591,7.257,1.168
198303,26.516,25.226,1.067,27.717,2.133,164.1,426.986,4.169,98.597,9.409,1.031
198304,26.009,24.939,0.968,26.993,1.883,147.009,425.507,3.146,98.641,10.626,0.885
198305,26.154,24.947,1.067,27.264,2.149,148.944,422.61,3.695,98.661,6.69,0.915
198306,24.982,23.692,1.083,26.228,2.221,146.484,416.135,3.504,98.915,4.757,0.981
198307,25.566,24.142,1.259,26.991,2.365,159.894,412.474,3.787,98.884,3.582,1.02
198308,25.158,23.929,1.318,26.364,2.402,161.782,413.156,3.393,99.018,5.868,0.981
198309,25.532,24.19,1.279,26.767,2.507,176.832,415.062,3.698,98.84,5.813,0.994
198310,25.237,23.942,1.066,26.429,2.218,164.324,417.723,3.136,98.73,9.317,0.996
198311,25.467,24.143,1.013,26.685,2.099,163.506,417.766,3.328,98.764,9.386,0.986
198312,25.078,23.836,0.935,26.2,2.085,154.33,416.802,2.907,98.752,8.309,1.057
198401,25.211,23.896,0.984,26.349,2.108,165.254,413.298,3.651,98.654,7.534,1.126
198402,24.735,23.585,0.936,25.793,1.88,148.599,417.878,2.687,98.645,11.882,0.861
198403,25.651,24.512,1.083,26.715,1.885,152.926,420.256,3.409,98.623,8.119,1.053
198404,25.317,24.203,1.013,26.341,2.137,139.106,419.134,3.332,98.721,13.258,1.081
198405,25.242,23.956,1.063,26.426,2.067,137.972,417.183,3.046,98.722,9.791,0.897
198406,24.713,23.525,1.062,25.868,1.894,131.842,413.714,2.595,98.9,8.076,0.845
198407,24.303,22.929,1.068,25.676,2.175,145.066,409.779,2.681,98.927,6.712,0.932
198408,24.521,23.251,1.163,25.766,2.294,157.815,411.171,3.185,98.932,5.431,0.979
198409,24.945,23.584,1.182,26.197,2.391,167.52,413.886,3.183,98.791,7.607,0.958
198410,25.552,24.211,1.062,26.786,2.143,176.755,418.217,3.507,98.651,7.466,0.96
198411,25.404,23.961,1.012,26.731,2.267,154.928,417.491,3.342,98.616,8.409,1.006
198412,25.074,23.766,0.899,26.267,1.966,155.809,416.367,3.113,98.559,9.717,1.093
198501,26.505,24.93,1.075,27.876,2.403,195.798,413.433,5.663,98.565,3.814,1.406
198502,25.379,24.046,0.927,26.606,2.072,162.526,416.543,3.825,98.648,8.114,1.11
198503,25.509,24.338,0.89,26.601,2.021,159.219,420.78,3.132,98.565,10.047,0.909
198504,25.347,24.144,1.029,26.454,2.052,142.952,420.152,3.127,98.64,10.051,0.943
198505,24.938,23.784,1.065,25.999,1.872,122.867,418.055,2.635,98.793,9.714,0.894
198506,23.851,22.648,1.026,25.023,1.902,132.962,407.557,2.639,99.072,6.522,1.066
198507,24.034,22.801,1.146,25.268,1.997,136.709,409.859,2.522,99.03,7.337,0.922
198508,24.268,23.134,1.161,25.374,2.364,152.442,410.481,2.659,98.95,6.434,0.922
198509,24.979,23.641,1.11,26.211,2.28,164.253,414.881,3.161,98.784,6.288,0.911
198510,25.568,24.12,1.042,26.9,2.298,176.902,417.414,3.596,98.602,8.533,1.016
198511,25.322,23.978,1.009,26.559,2.011,163.862,415.429,3.345,98.611,6.821,1.091
198512,25.716,24.526,1.05,26.792,2.157,171.589,414.504,4.545,98.607,6.052,1.352
198601,25.408,24.174,1.132,26.478,2.023,158.221,418.189,3.937,98.686,9.208,1.136
198602,25.116,23.821,0.983,26.306,1.949,148.117,418.062,3.112,98.657,12.638,1.004
198603,24.979,23.78,0.974,26.095,1.741,140.524,419.181,2.831,98.716,10.646,0.957
198604,25.295,24.166,1.094,26.334,1.923,138.009,421.061,3.198,98.678,10.771,1.023
198605,25.226,24.004,1.056,26.351,1.978,136.699,419.753,2.926,98.753,7.796,0.989
198606,24.497,23.222,1.129,25.735,2.028,134.146,412.039,2.802,98.954,7.944,0.856
198607,23.867,22.657,1.2,25.077,1.928,130.741,410.053,2.881,99.182,6.32,1.072
198608,24.953,23.642,1.132,26.238,2.146,159.935,414.686,3.058,98.847,6.204,0.808
198609,24.626,23.446,1.132,25.712,2.047,151.374,416.214,2.78,98.899,12.707,0.944
198610,25.065,23.737,1.066,26.286,2.032,157.687,417.491,3.052,98.776,9.242,1.054
198611,25.539,24.246,1.001,26.728,2.078,168.443,418.512,3.556,98.575,7.934,1.125
198612,25.485,24.41,0.839,26.46,1.841,159.912,417.764,3.289,98.687,9.81,1.07
198701,25.113,24.118,0.912,25.977,1.745,141.351,420.928,2.884,98.718,11.208,0.96
198702,25.128,24.097,0.815,26.077,1.697,142.045,422.783,2.878,98.722,13.785,0.931
198703,26.155,24.863,1.145,27.363,2.066,170.148,422.612,4.267,98.591,7.854,1.126
198704,25.632,24.668,0.999,26.52,1.861,140.472,423.547,3.169,98.715,11.946,1.058
198705,25.354,24.177,1.05,26.437,2.127,144.439,418.41,3.483,98.774,6.654,1.087
198706,24.762,23.646,1.047,25.838,1.994,133.588,415.038,3.209,99.004,6.358,1.116
198707,25.229,23.967,1.07,26.491,2.161,145.799,417.175,3.14,98.832,5.901,0.863
198708,24.972,23.68,1.174,26.236,2.355,158.901,415.673,3.242,98.891,5.658,0.986
198709,25.772,24.46,1.203,26.98,2.389,166.914,419.622,3.675,98.819,8.191,0.901
198710,26.113,24.811,1.038,27.31,2.295,171.419,421.29,3.938,98.638,7.837,0.984
198711,25.687,24.463,0.846,26.814,1.928,162.717,422.666,3.198,98.6,9.458,0.908
198712,25.752,24.583,0.868,26.813,1.856,154.969,423.032,3.556,98.659,10.354,1.049
