TIMESTAMP_START,TIMESTAMP_END,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19810101,19810107,26.597,25.01,1.134,27.941,2.378,186.984,417.804,5.481,98.586,5.344,1.441
19810108,19810114,25.726,24.456,1.308,26.801,2.344,184.481,417.443,4.538,98.607,4.996,1.19
19810115,19810121,26.748,25.148,1.385,28.102,2.622,193.956,416.076,6.084,98.598,3.497,1.553
19810122,19810128,27.513,25.555,1.613,29.292,3.053,230.801,409.004,9.064,98.517,1.467,1.915
19810129,19810204,24.706,23.736,0.862,25.598,1.779,141.11,420.243,2.658,98.707,13.003,0.957
19810205,19810211,24.651,23.791,1.006,25.442,1.74,144.197,419.175,2.136,98.708,9.763,0.897
19810212,19810218,25.568,24.594,1.029,26.465,1.902,163.632,418.12,3.946,98.568,6.641,1.208
19810219,19810225,25.031,24.039,0.945,25.944,1.72,155.208,420.686,2.848,98.551,7.894,0.858
19810226,19810304,25.232,24.397,0.797,26.0,1.573,154.499,423.295,2.336,98.634,13.55,0.753
19810305,19810311,25.585,24.489,0.606,26.593,1.625,148.244,425.569,2.697,98.624,9.39,0.917
19810312,19810318,26.229,25.061,0.908,27.303,1.724,176.399,421.484,3.934,98.561,6.516,1.307
19810319,19810325,26.223,25.34,1.071,27.066,1.88,164.092,421.264,4.247,98.582,4.445,1.311
19810326,19810401,25.901,24.574,0.932,27.139,2.431,163.055,419.806,4.021,98.744,6.426,1.079
19810402,19810408,25.444,24.282,0.925,26.513,1.851,154.842,418.948,3.092,98.629,11.635,0.87
19810409,19810415,25.417,24.398,0.925,26.355,1.903,147.593,423.8,2.837,98.595,9.854,0.763
19810416,19810422,25.12,24.193,0.859,25.973,1.604,123.219,421.149,2.226,98.747,13.981,0.986
19810423,19810429,26.038,24.535,1.203,27.421,2.292,165.148,422.086,3.872,98.579,7.324,1.058
19810430,19810506,25.571,24.404,1.072,26.645,1.968,142.254,419.49,3.077,98.648,8.25,0.858
19810507,19810513,25.893,24.633,1.196,27.051,2.062,150.408,419.179,3.612,98.692,8.218,0.985
19810514,19810520,25.469,24.279,0.996,26.563,1.884,140.061,419.258,2.623,98.762,10.765,0.805
19810521,19810527,25.071,23.963,0.858,26.09,1.668,122.145,421.163,2.136,98.884,11.881,0.741
19810528,19810603,25.649,24.397,1.087,26.801,2.033,131.964,418.393,2.763,98.758,8.929,0.794
19810604,19810610,24.782,23.855,0.893,25.635,1.731,108.413,420.564,2.445,98.883,7.536,0.98
19810611,19810617,24.253,23.28,0.858,25.213,1.492,102.73,418.018,1.683,98.967,10.979,0.891
19810618,19810624,24.126,23.078,1.062,25.174,1.908,124.828,411.67,2.753,99.079,4.979,1.084
19810625,19810701,24.83,23.399,1.224,26.261,2.235,141.868,413.109,3.145,98.855,5.952,0.826
19810702,19810708,24.358,23.21,1.116,25.505,1.877,126.513,412.325,2.736,99.039,8.523,1.01
19810709,19810715,24.514,23.182,1.243,25.845,2.167,147.031,411.498,2.767,98.953,4.569,0.711
19810716,19810722,22.065,20.839,1.716,23.292,2.356,148.523,390.111,3.872,99.224,4.059,1.64
19810723,19810729,24.075,22.406,1.931,25.744,2.891,170.104,391.033,4.852,99.277,0.665,1.026
19810730,19810805,25.072,23.62,1.31,26.523,2.564,160.854,414.019,3.715,98.864,3.503,0.834
19810806,19810812,24.475,23.309,1.022,25.642,1.805,150.078,412.274,2.993,98.906,7.231,0.951
19810813,19810819,25.48,24.036,1.331,26.924,2.52,165.492,413.061,3.829,98.963,5.282,0.942
19810820,19810826,25.021,23.814,1.458,26.176,2.389,150.761,411.62,3.198,98.884,6.443,0.804
19810827,19810902,24.803,23.479,1.256,26.02,2.463,163.339,411.901,3.177,98.865,6.843,1.081
19810903,19810909,25.0,23.604,1.366,26.285,2.487,171.017,412.717,3.634,98.887,6.445,0.875
19810910,19810916,24.983,23.648,1.02,26.212,2.385,161.693,416.225,3.429,98.842,8.25,1.113
19810917,19810923,25.126,23.782,1.384,26.363,2.376,179.976,411.733,3.635,98.986,7.089,0.816
19810924,19810930,25.392,23.829,1.19,26.829,2.524,167.748,417.695,3.769,98.832,9.578,0.981
19811001,19811007,25.515,24.069,1.565,26.846,2.618,166.39,414.991,4.395,98.623,4.712,1.185
19811008,19811014,25.748,24.43,1.243,26.96,2.17,154.152,418.515,3.317,98.653,12.063,1.066
19811015,19811021,25.873,24.689,1.252,26.962,2.397,175.41,416.319,4.031,98.717,9.167,1.061
19811022,19811028,25.746,24.449,1.23,26.94,2.09,184.953,417.157,3.748,98.733,7.203,0.975
19811029,19811104,25.829,24.54,1.078,27.014,2.083,167.085,419.375,3.408,98.576,7.911,1.185
19811105,19811111,26.845,25.375,1.352,28.197,2.433,186.893,421.664,4.834,98.548,5.338,1.318
19811112,19811118,26.06,24.528,0.987,27.47,2.177,172.018,419.44,3.859,98.499,9.947,1.003
19811119,19811125,25.626,24.272,1.123,26.871,1.934,144.318,420.45,3.038,98.524,8.531,1.037
19811126,19811202,25.605,24.308,1.214,26.799,2.227,158.839,420.202,3.325,98.502,11.605,1.06
19811203,19811209,25.584,24.417,1.304,26.658,1.987,154.181,419.408,3.558,98.63,10.594,0.993
19811210,19811216,26.038,24.655,0.892,27.309,2.029,181.357,417.882,3.931,98.643,8.374,1.174
19811217,19811223,25.716,24.573,0.989,26.768,1.902,154.118,419.842,3.494,98.624,9.979,1.163
19811224,19811231,25.579,24.388,1.085,26.608,1.881,162.551,418.833,3.498,98.616,9.982,0.975
19820101,19820107,25.533,24.275,1.008,26.597,1.85,148.481,419.572,3.242,98.606,10.697,1.202
19820108,19820114,25.869,24.506,1.225,27.023,2.09,168.885,418.432,4.233,98.609,10.324,1.303
19820115,19820121,25.7,24.493,1.107,26.722,1.875,150.451,419.641,3.509,98.67,8.272,1.202
19820122,19820128,26.697,25.09,1.432,28.158,2.553,211.927,409.954,6.13,98.712,2.626,1.349
19820129,19820204,25.591,24.467,1.147,26.625,1.882,162.812,417.486,3.35,98.638,9.68,0.909
19820205,19820211,25.267,23.979,1.054,26.452,1.959,149.637,419.735,2.995,98.769,10.85,0.885
19820212,19820218,25.705,24.44,0.901,26.868,1.792,156.069,420.616,3.207,98.573,11.257,0.949
19820219,19820225,25.288,24.194,0.894,26.294,1.646,145.708,418.629,2.704,98.644,9.541,0.882
19820226,19820304,25.638,24.421,1.175,26.757,1.922,163.551,419.06,3.192,98.726,10.199,1.015
19820305,19820311,26.158,24.686,1.066,27.511,2.185,173.661,419.522,3.996,98.573,10.279,1.171
19820312,19820318,25.441,24.25,0.945,26.537,1.683,150.362,420.055,3.063,98.624,6.726,1.037
19820319,19820325,25.377,24.305,1.032,26.4,1.787,158.971,418.878,3.197,98.598,5.042,0.757
19820326,19820401,25.728,24.496,1.018,26.878,1.9,135.258,420.055,3.235,98.725,16.505,1.097
19820402,19820408,25.014,23.893,0.844,26.045,1.942,151.186,424.234,2.653,98.763,11.779,0.772
19820409,19820415,25.423,24.224,1.049,26.526,1.999,145.959,417.692,3.26,98.737,10.583,1.105
19820416,19820422,25.103,23.809,0.958,26.293,1.856,144.156,416.3,2.784,98.755,11.254,0.87
19820423,19820429,24.725,23.884,0.825,25.499,1.324,128.751,417.498,1.978,98.893,14.392,1.035
19820430,19820506,24.638,23.774,0.852,25.433,1.468,135.128,415.882,2.075,98.955,9.974,1.21
19820507,19820513,25.46,24.192,0.973,26.627,1.991,148.058,420.599,3.193,98.76,7.769,0.906
19820514,19820520,25.642,24.519,0.958,26.676,1.877,150.42,419.158,3.122,98.664,7.76,0.816
19820521,19820527,24.821,23.896,0.862,25.673,1.559,121.383,418.012,2.619,98.854,8.582,1.172
19820528,19820603,24.797,23.521,1.208,25.971,2.055,139.307,409.913,4.741,99.116,0.697,1.425
19820604,19820610,25.473,24.121,1.269,26.718,2.177,146.651,415.552,3.343,98.863,7.074,0.825
19820611,19820617,24.896,23.843,0.964,25.918,1.593,124.183,417.576,2.332,98.93,8.89,0.763
19820618,19820624,24.384,23.261,1.19,25.508,1.888,130.583,413.921,2.375,99.058,6.418,0.719
19820625,19820701,25.1,23.646,1.295,26.554,2.219,140.074,414.586,3.118,98.961,5.39,0.732
19820702,19820708,24.506,23.192,1.05,25.819,2.062,132.198,415.574,2.673,98.982,7.055,0.754
19820709,19820715,24.641,23.444,1.057,25.838,2.045,138.726,415.222,2.432,98.854,5.002,0.813
19820716,19820722,24.831,23.557,1.441,26.105,2.29,138.387,414.767,2.932,98.955,4.086,0.725
19820723,19820729,24.202,23.16,0.979,25.244,1.761,137.361,413.156,2.283,98.966,6.378,0.808
19820730,19820805,24.284,22.846,1.127,25.722,2.18,140.645,413.453,2.449,99.036,7.34,0.802
19820806,19820812,24.653,23.339,1.239,25.966,2.188,153.383,409.732,3.157,99.048,4.789,1.047
19820813,19820819,24.798,23.387,1.25,26.21,2.197,152.385,413.933,2.988,99.027,6.376,0.871
19820820,19820826,25.077,23.582,1.189,26.519,2.239,159.354,415.859,3.426,98.991,4.353,0.755
19820827,19820902,25.142,23.766,1.123,26.408,2.3,164.741,413.493,3.375,98.824,8.264,0.858
19820903,19820909,25.352,23.977,1.394,26.617,2.393,178.697,414.451,3.614,98.915,4.056,0.772
19820910,19820916,26.601,24.994,1.473,28.08,2.755,200.266,415.706,4.893,98.711,2.462,0.98
19820917,19820923,25.149,23.891,0.994,26.307,1.929,162.014,417.376,2.911,98.859,8.633,0.911
19820924,19820930,25.459,23.927,1.072,26.87,2.276,179.334,415.925,3.766,98.826,4.632,0.823
19821001,19821007,25.822,24.224,1.242,27.292,2.469,190.377,414.396,4.062,98.664,4.963,1.076
19821008,19821014,25.2,23.948,1.138,26.353,1.755,156.205,417.869,2.82,98.695,10.631,1.013
19821015,19821021,25.922,24.382,1.178,27.339,2.194,195.225,416.732,4.072,98.659,4.357,0.79
19821022,19821028,24.878,23.913,0.919,25.766,1.702,153.35,418.48,2.582,98.734,8.747,0.818
19821029,19821104,26.039,24.536,1.057,27.421,2.358,188.613,414.465,4.199,98.506,3.891,1.275
19821105,19821111,25.316,24.216,1.008,26.329,1.995,144.254,421.236,2.723,98.554,10.319,0.807
19821112,19821118,25.046,24.015,0.927,25.994,1.526,139.885,421.694,2.34,98.61,9.254,0.773
19821119,19821125,25.321,24.182,0.975,26.369,1.9,141.453,419.028,2.906,98.6,10.672,0.978
19821126,19821202,25.648,24.278,1.298,26.908,2.065,149.863,419.109,3.478,98.647,8.804,1.108
19821203,19821209,25.142,23.995,0.806,26.197,1.766,146.161,419.945,2.768,98.592,9.494,0.849
19821210,19821216,26.054,24.633,1.176,27.361,2.262,169.502,418.054,4.157,98.531,4.302,1.109
19821217,19821223,25.743,24.387,1.002,26.99,1.923,165.833,420.475,3.551,98.631,10.456,1.175
19821224,19821231,25.435,24.183,1.055,26.524,1.947,144.476,420.522,2.966,98.603,11.96,0.917
19830101,19830107,25.69,24.467,1.08,26.725,2.045,157.285,422.531,3.551,98.586,10.056,1.012
19830108,19830114,26.254,24.804,1.202,27.482,2.354,178.74,422.047,4.445,98.445,3.796,1.235
19830115,19830121,26.32,25.121,1.134,27.335,1.948,164.258,422.623,4.041,98.557,6.798,1.077
19830122,19830128,27.22,25.663,1.26,28.622,2.318,193.059,426.396,5.272,98.624,3.035,1.032
19830129,19830204,27.801,26.19,1.306,29.284,2.459,207.651,420.046,8.044,98.535,3.0,1.361
19830205,19830211,27.076,25.691,1.285,28.35,2.233,199.366,415.579,6.872,98.539,3.294,1.286
19830212,19830218,26.89,25.398,1.15,28.263,2.297,173.189,424.965,5.466,98.585,6.225,1.383
19830219,19830225,26.019,25.001,1.135,26.955,1.73,152.45,427.23,3.478,98.593,12.956,0.97
19830226,19830304,27.174,25.6,1.033,28.621,2.527,191.735,427.098,4.84,98.639,7.807,1.033
19830305,19830311,26.524,25.328,0.896,27.623,2.084,154.221,429.97,4.105,98.555,10.182,0.916
19830312,19830318,26.403,24.953,1.14,27.736,2.072,167.951,426.401,4.324,98.597,8.124,1.007
19830319,19830325,25.975,24.874,1.027,27.037,1.834,146.932,426.121,3.208,98.663,13.467,1.014
19830326,19830401,26.461,25.284,1.219,27.558,2.156,165.685,425.179,4.056,98.596,7.553,1.08
19830402,19830408,26.139,25.127,0.971,27.071,1.859,142.473,426.519,3.129,98.584,10.947,0.903
19830409,19830415,26.168,25.033,1.039,27.212,1.902,148.431,423.639,3.519,98.598,7.791,0.937
19830416,19830422,25.834,24.826,0.931,26.762,1.797,156.072,425.555,2.912,98.713,13.005,0.794
19830423,19830429,26.057,24.833,0.966,27.184,2.151,147.068,425.669,3.295,98.656,9.926,0.871
19830430,19830506,25.972,24.795,1.018,27.055,2.095,145.163,422.917,3.701,98.765,10.753,0.928
19830507,19830513,26.483,25.188,1.046,27.674,2.144,156.949,422.819,3.881,98.619,5.413,0.826
19830514,19830520,26.226,24.989,1.085,27.364,2.232,152.02,424.159,3.889,98.676,5.526,1.001
19830521,19830527,25.709,24.627,0.953,26.705,1.967,142.937,420.19,3.209,98.651,7.301,0.968
19830528,19830603,25.662,24.542,1.078,26.692,2.028,128.847,423.082,3.367,98.668,7.091,1.123
19830604,19830610,25.666,24.254,1.186,26.966,2.54,162.706,416.892,3.938,98.77,2.194,0.879
19830611,19830617,24.432,23.274,0.774,25.551,1.891,134.084,416.936,3.569,99.026,6.106,1.267
