TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
1981,25.376,24.123,1.142,26.541,2.117,157.466,416.681,3.544,98.74,2859.689,1.038
1982,25.303,24.042,1.085,26.477,1.991,153.903,417.186,3.214,98.765,2908.826,0.956
1983,25.747,24.458,1.118,26.947,2.203,161.95,419.14,3.739,98.746,2625.582,1.012
1984,25.057,23.782,1.044,26.245,2.101,152.871,415.682,3.147,98.728,3162.96,0.983
1985,25.118,23.842,1.045,26.305,2.12,156.857,414.915,3.404,98.739,2727.559,1.045
1986,25.004,23.775,1.062,26.149,1.976,148.662,416.907,3.119,98.785,3370.537,1.003
1987,25.475,24.296,1.016,26.576,2.042,152.838,420.21,3.392,98.747,3184.023,0.998
1988,25.452,24.238,1.079,26.583,2.173,156.439,417.783,3.628,98.76,2809.366,1.037
1989,25.157,23.932,1.06,26.298,2.127,153.368,415.941,3.433,98.777,3074.452,1.084
1990,25.19,24.014,0.967,26.284,2.061,154.704,418.255,3.214,98.787,3244.361,0.971
1991,25.332,24.126,1.028,26.454,2.119,153.224,418.055,3.385,98.776,2987.114,1.023
1992,25.373,24.144,1.16,26.515,2.14,155.546,417.953,3.478,98.732,3044.922,0.969
1993,25.12,23.92,1.196,26.236,2.076,148.961,417.605,3.22,98.797,3139.001,0.983
1994,25.195,23.965,1.2,26.341,2.107,145.633,417.972,3.267,98.794,3404.784,0.986
1995,25.595,24.351,1.172,26.754,2.181,158.903,418.509,3.665,98.762,2895.346,1.008
1996,25.166,23.987,1.092,26.261,2.127,153.249,417.295,3.178,98.78,3169.025,0.977
1997,25.502,24.164,1.073,26.749,2.177,158.312,418.398,3.537,98.771,2761.596,1.0
1998,25.729,24.498,1.016,26.877,2.111,153.421,421.641,3.365,98.777,3048.006,0.978
1999,25.003,23.762,1.011,26.159,2.133,154.332,415.784,3.193,98.796,2758.292,0.983
2000,25.17,23.838,1.05,26.41,2.13,154.503,415.728,3.396,98.779,2937.237,1.034
2001,25.229,23.895,1.019,26.472,2.131,157.637,416.262,3.269,98.817,2715.49,0.942
2002,25.471,24.163,0.957,26.689,2.116,158.079,417.755,3.579,98.815,2597.357,0.931
2003,25.441,24.112,0.926,26.677,2.122,155.84,417.843,3.626,98.819,2526.044,0.952
2004,25.58,24.156,0.984,26.905,2.138,159.933,417.362,3.939,98.8,2394.666,0.993
2005,25.834,24.253,1.1,27.308,2.321,162.579,417.378,4.158,98.754,2501.342,1.083
2006,25.626,24.123,0.999,27.029,2.237,162.864,416.863,3.916,98.787,2524.965,1.063
2007,25.652,24.166,1.027,27.039,2.294,163.393,417.27,4.007,98.769,2464.328,1.034
2008,25.621,24.188,1.153,26.958,2.35,161.437,416.449,3.865,98.744,2544.085,1.078
2009,25.772,24.351,1.106,27.097,2.241,156.033,418.927,3.551,98.741,2802.934,0.955
2010,26.075,24.585,1.16,27.464,2.303,162.614,419.804,4.147,98.724,2356.011,1.067
2011,25.588,24.153,1.045,26.925,2.24,155.356,416.775,3.736,98.729,2717.742,1.045
2012,25.552,24.151,1.073,26.861,2.216,157.936,416.668,3.826,98.789,2866.308,1.029
2013,25.708,24.338,1.095,26.985,2.177,155.9,417.54,3.869,98.798,2731.911,1.036
2014,25.666,24.316,1.034,26.926,2.127,152.469,418.141,3.716,98.812,2708.022,1.033
2015,25.942,24.562,0.984,27.232,2.164,153.58,419.506,3.794,98.817,2882.622,0.967
2016,26.116,24.743,1.025,27.393,2.132,155.65,420.401,4.021,98.815,2831.095,1.063
2017,25.921,24.459,1.048,27.288,2.196,159.078,418.057,4.08,98.785,2770.995,1.093
2018,25.628,24.243,1.008,26.922,2.104,153.002,417.108,3.804,98.82,2681.298,1.081
2019,25.746,24.394,0.98,27.009,2.119,152.239,419.062,3.669,98.84,2987.419,1.063
2020,26.028,24.604,1.04,27.356,2.1,161.503,418.67,4.198,98.828,2444.931,1.08
