TIMESTAMP_START,TIMESTAMP_END,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20180101,20180107,25.711,1.0,24.055,1.234,1.0,27.111,2.411,1.0,25.772,24.329,1.077,26.994,1.962,25.711,1.0,24.055,1.234,1.0,27.111,2.411,1.0,435.645,159.424,1.0,148.892,159.424,1.0,-9999,-9999,417.837,417.837,0.0,486.868,1.0,482.816,486.868,1.0,3.919,1.0,3.392,3.919,1.0,98.728,98.735,0.991071,12.308,12.308,0.0,1.196,1.413,0.857143,0.22702054019797427,0.8368055555555555,123.80240404755436,0.9930555555555557,339.3727297705314,0.9930555555555557,433.769,1.0,25.342,1.0,-9999,-9999,97.8106,-9999,-9999,2.50304,15.7281,-9999,-9999,0.61269,-9999,-9999,22.0,26.0,20.0,25.1429,-3.67832,0.96131,0.48207,0.755823,-3.60699,0.96131,0.462742,0.743644,-4.13463,0.954539,0.0919878,-5.52832,-4.77125,-4.3784,-4.03671,-3.66852,-3.60699,-3.60699,0.892857,0.946429,0.955357,0.952381,0.955357,0.96131,0.96131,8.75792,1.11115,1.0,0.578518,1.09735,-13.9544,13.5524,0.928571,0.681238,0.70134,8.87058,1.10276,1.0,0.545734,1.08043,-13.9229,13.6052,0.928571,0.672723,0.693072,5.35122,7.00565,7.47967,8.16264,8.80339,8.87058,8.89964,0.883117,0.987013,0.993506,1.0,1.0,1.0,1.0,-14.4736,-14.2563,-14.1265,-14.0307,-13.9544,-13.9229,-13.9117,0.917582,0.906593,0.923077,0.934066,0.928571,0.928571,0.923077,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.38852,9.76636,8.92723,0.276097,6.37495,7.38852,7.46491,8.95649,10.301,10.3889,11.2539,12.9886,13.3361,12.914,0.173359,10.7477,11.7464,12.1786,12.9886,13.7633,14.1199,14.3555,-9999,-9999
20180108,20180114,25.236,1.0,23.595,1.142,1.0,26.624,2.528,1.0,25.149,23.788,0.885,26.301,2.064,25.236,1.0,23.595,1.142,1.0,26.624,2.528,1.0,437.43,166.519,1.0,148.842,166.519,1.0,-9999,-9999,414.677,414.677,0.0,480.096,1.0,480.719,480.096,1.0,4.183,1.0,3.297,4.183,1.0,98.744,98.76,0.994048,9.639,9.639,0.0,1.032,1.228,0.78869,0.22596569312750242,0.6805555555555557,112.83469229166667,0.9895833333333334,313.5868819444445,0.9895833333333334,424.816,1.0,25.075,1.0,-9999,-9999,101.699,-9999,-9999,2.51487,19.7462,-9999,-9999,0.556436,-9999,-9999,22.0,26.0,21.7143,25.7143,-4.0719,0.988095,0.366885,0.691235,-3.61368,0.988095,0.349237,0.682032,-4.22168,0.980208,0.106754,-6.02418,-4.78534,-4.42767,-4.16482,-3.65426,-3.61368,-3.54788,0.964286,0.988095,0.985119,0.985119,0.988095,0.988095,0.985119,8.45585,1.63015,1.0,0.344913,1.05973,-14.399,14.8405,0.978022,0.570934,0.61246,9.28613,1.44346,1.0,0.291921,1.04369,-14.2864,15.0144,0.978022,0.569684,0.611295,4.9181,7.28207,7.91099,8.30652,9.26264,9.28613,9.47012,0.980519,1.0,1.0,1.0,1.0,1.0,1.0,-14.9589,-14.7403,-14.5683,-14.5159,-14.3387,-14.297,-14.2864,0.961538,0.917582,0.978022,0.972527,0.978022,0.978022,0.978022,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.50145,6.62149,7.92583,0.220518,6.50382,6.62149,7.16128,7.50145,8.94253,9.06024,9.89083,11.4796,11.2881,11.7294,0.0879242,10.735,11.2881,11.3346,11.5374,12.1833,12.2646,12.5599,-9999,-9999
20180115,20180121,24.12,1.0,23.313,0.995,1.0,24.802,1.735,1.0,24.57,23.67,0.745,25.331,1.643,24.12,1.0,23.313,0.995,1.0,24.802,1.735,1.0,439.593,113.984,1.0,143.017,113.984,1.0,-9999,-9999,417.956,417.956,0.0,473.918,1.0,482.894,473.918,1.0,2.159,1.0,2.58,2.159,1.0,98.835,98.844,1.0,10.853,10.853,0.0,0.889,1.203,0.758929,0.20440606859687147,0.7430555555555557,72.80277340277777,1.0,220.97747222222222,1.0,423.594,1.0,24.87,1.0,-9999,-9999,72.7717,-9999,-9999,2.1932,16.0324,-9999,-9999,0.495948,-9999,-9999,22.0,26.0,22.0,26.0,-2.25704,0.988095,0.338896,0.823701,-1.65837,0.988095,0.321683,0.81677,-1.89672,0.945015,0.100517,-2.95604,-2.7961,-2.44987,-1.75979,-1.47568,-1.29459,-1.06271,0.988095,0.988095,0.988095,0.988095,0.919643,0.886905,0.860119,8.16974,0.708159,1.0,0.35347,1.20539,-10.9282,14.7472,0.978022,0.523493,0.649518,9.17147,0.835588,1.0,0.2928,1.18901,-10.7108,15.003,0.978022,0.515879,0.643397,6.54916,7.24006,7.75788,8.9225,9.54485,9.54485,9.76022,1.0,1.0,1.0,1.0,0.928571,0.928571,1.0,-11.147,-11.0994,-10.9228,-10.7036,-10.463,-10.3304,-10.0526,0.978022,0.978022,0.978022,0.978022,0.807692,0.835165,0.807692,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.72345,2.9024,7.96496,0.504075,2.70717,2.9024,4.82618,9.7448,9.98915,10.525,11.4114,11.2294,8.20164,10.2512,0.240939,7.34264,8.20164,8.49427,11.0837,11.2294,11.5829,11.7898,-9999,-9999
20180122,20180128,25.768,1.0,24.364,1.299,1.0,27.04,2.336,1.0,25.453,24.203,1.089,26.587,2.065,25.768,1.0,24.364,1.299,1.0,27.04,2.336,1.0,441.917,159.794,1.0,135.036,159.794,1.0,-9999,-9999,416.951,416.951,0.0,485.584,1.0,482.228,485.584,1.0,4.404,1.0,3.546,4.404,1.0,98.613,98.611,0.997024,4.507,4.507,0.0,1.217,1.262,0.91369,0.20995681796193114,0.8993055555555555,112.72234812500001,1.0,304.85948611111115,1.0,418.287,1.0,24.997,1.0,-9999,-9999,92.8491,-9999,-9999,2.59057,23.0375,-9999,-9999,0.579964,-9999,-9999,22.8571,25.1429,22.8571,25.0,-5.16831,0.964286,0.344183,1.06741,-4.86881,0.958333,0.332302,1.06364,-4.73638,0.963839,0.133013,-5.72765,-5.66804,-5.59991,-4.86881,-3.88384,-3.64725,-3.46891,0.967262,0.967262,0.967262,0.958333,0.97619,0.952381,0.949405,7.89962,1.18076,0.962733,0.294261,1.74987,-16.6875,14.26,0.965934,0.573905,0.645607,8.43641,1.11175,0.956522,0.230177,1.74024,-16.6249,14.3741,0.96022,0.57574,0.647238,6.95591,7.00285,7.11547,8.43641,10.169,10.4528,10.6961,0.968944,0.968944,0.968944,0.956522,0.987578,0.968944,0.968944,-16.7928,-16.7914,-16.7508,-16.6249,-16.3896,-16.2,-16.107,0.965934,0.965934,0.965934,0.96022,0.965714,0.937363,0.931648,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.22732,3.31974,7.93724,0.445835,2.98504,3.31974,5.1354,9.22732,9.41358,10.3543,10.8217,13.8479,10.834,12.66,0.234915,10.2104,10.6231,10.834,13.5209,13.5917,14.1468,14.3164,-9999,-9999
20180129,20180204,27.169,1.0,25.399,0.949,1.0,28.798,2.311,1.0,27.158,25.579,1.153,28.611,2.254,27.169,1.0,25.399,0.949,1.0,28.798,2.311,1.0,444.154,170.903,1.0,159.741,170.903,1.0,-9999,-9999,424.188,424.188,0.0,499.846,1.0,487.028,499.846,1.0,5.511,1.0,5.141,5.511,1.0,98.438,98.432,1.0,5.891,5.891,0.0,1.241,1.34,0.964286,0.1954094913029462,0.96875,126.53549809027777,1.0,333.0233645833333,1.0,422.675,1.0,25.78,1.0,-9999,-9999,92.7743,-9999,-9999,2.20608,19.663,-9999,-9999,0.529861,-9999,-9999,23.0,25.0,23.0,25.0,-4.35173,0.755952,0.333791,1.25582,-3.95802,0.755952,0.334218,1.25593,-4.17792,0.73058,0.151171,-5.50697,-5.44802,-5.39038,-3.95802,-3.50072,-3.02672,-2.90139,0.889881,0.895833,0.889881,0.755952,0.732143,0.488095,0.491071,7.10321,0.839825,0.726708,0.284321,2.20481,-14.5865,13.6375,0.782857,0.559451,0.621029,7.78896,0.890854,0.726708,0.281606,2.20446,-14.489,13.7945,0.782857,0.561481,0.622858,5.01756,5.06478,5.09726,7.78896,8.72828,9.43758,9.63192,0.968944,0.975155,0.975155,0.726708,0.708075,0.31677,0.31677,-14.836,-14.8052,-14.7395,-14.5725,-14.3022,-14.2659,-14.1572,0.817143,0.817143,0.822857,0.817143,0.645714,0.668571,0.771429,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.6433,11.1201,10.9374,0.453334,2.54474,7.69218,9.47021,12.1374,12.6503,12.8793,13.3943,13.7837,13.5697,12.6663,0.255567,8.5119,11.3403,12.2313,13.3269,13.5581,13.5697,13.9176,-9999,-9999
20180205,20180211,27.597,1.0,26.152,1.356,1.0,28.927,2.331,1.0,27.195,25.634,1.127,28.631,2.42,27.597,1.0,26.152,1.356,1.0,28.927,2.331,1.0,446.052,173.391,1.0,177.756,173.391,1.0,-9999,-9999,419.862,419.862,0.0,500.626,1.0,484.158,500.626,1.0,6.939,1.0,6.054,6.939,1.0,98.556,98.546,1.0,5.643,5.643,0.0,1.314,1.394,0.96131,0.18152166542452242,0.9618055555555555,136.15479965277777,1.0,350.93888888888887,1.0,430.175,0.994048,25.789,1.0,-9999,-9999,89.2978,-9999,-9999,1.86877,14.8808,-9999,-9999,0.476215,-9999,-9999,23.0,25.0,23.0,24.4286,-4.00578,0.89881,0.333885,0.582162,-4.00812,0.89881,0.334156,0.582318,-4.17045,0.887798,0.0697831,-4.81275,-4.68178,-4.41298,-4.00812,-3.9541,-3.72798,-3.59098,0.904762,0.904762,0.901786,0.89881,0.875,0.89881,0.883929,7.04377,1.52019,0.968944,0.306778,0.945115,-13.8918,14.383,0.834286,0.553893,0.609949,7.04377,1.52019,0.968944,0.305524,0.944709,-13.8961,14.3797,0.834286,0.555078,0.611025,5.71518,5.91509,6.339,7.04377,7.54748,7.70297,8.33015,0.987578,0.987578,0.968944,0.968944,0.981366,0.981366,0.981366,-15.0748,-14.4026,-14.2692,-14.1041,-13.8961,-13.8918,-13.8515,0.748571,0.777143,0.777143,0.828571,0.834286,0.834286,0.828571,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.3659,6.80405,8.75444,0.363439,4.70048,6.49723,6.81986,9.19729,10.1887,10.4107,12.1483,11.2844,10.2064,10.6516,0.212628,8.18434,8.87252,10.0388,11.2481,11.8131,11.8453,12.2241,-9999,-9999
20180212,20180218,25.569,1.0,24.185,1.194,1.0,26.843,2.097,1.0,25.459,24.414,0.995,26.42,1.842,25.569,1.0,24.185,1.194,1.0,26.843,2.097,1.0,447.374,139.537,1.0,140.507,139.537,1.0,-9999,-9999,416.583,416.583,0.0,486.989,1.0,481.984,486.989,1.0,3.822,1.0,3.828,3.822,1.0,98.811,98.79,1.0,5.973,5.973,0.0,1.26,1.455,0.934524,0.2044569866282506,0.9236111111111112,97.63596437500001,1.0,266.2853402777778,1.0,430.32,1.0,25.103,1.0,-9999,-9999,79.5684,-9999,-9999,1.87439,10.98,-9999,-9999,0.485468,-9999,-9999,23.0,25.0,23.0,25.0,-1.98995,0.982143,0.38991,0.438303,-2.05218,0.982143,0.393236,0.441265,-2.07999,0.975967,0.0302217,-2.38058,-2.34363,-2.25603,-2.0529,-2.00241,-1.94323,-1.7506,0.982143,0.982143,0.982143,0.848214,0.982143,0.982143,0.982143,8.76504,1.53959,1.0,0.473275,0.876717,-11.7457,13.0637,0.965714,0.575196,0.628939,8.68774,1.54216,1.0,0.454759,0.866861,-11.7897,13.0501,0.965714,0.595241,0.647322,7.58023,7.90366,8.13582,8.71425,9.00693,9.37966,9.69959,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-12.2884,-12.1678,-12.1243,-11.792,-11.6759,-11.6591,-11.3951,0.942857,0.965714,0.954286,0.965714,0.965714,0.965714,0.965714,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.08629,7.45765,7.93379,0.24061,5.58111,6.83426,7.05471,7.62739,8.60436,9.54155,9.95944,10.7828,11.2429,9.50192,0.287677,7.27806,7.29917,7.30383,10.1445,10.886,11.2233,12.1202,-9999,-9999
20180219,20180225,27.018,1.0,25.352,1.697,1.0,28.551,2.673,1.0,26.573,24.94,1.344,28.076,2.471,27.018,1.0,25.352,1.697,1.0,28.551,2.673,1.0,447.913,169.993,1.0,193.224,169.993,1.0,-9999,-9999,416.491,416.491,0.0,493.44,1.0,481.922,493.44,1.0,7.603,1.0,6.087,7.603,1.0,98.65,98.647,1.0,5.757,5.757,0.0,1.456,1.441,0.934524,0.17590018440083402,0.9583333333333334,137.3911715277778,1.0,353.9619027777778,1.0,446.421,1.0,25.494,1.0,-9999,-9999,94.1779,-9999,-9999,2.30433,14.6156,-9999,-9999,0.517456,-9999,-9999,23.0,25.0,23.0,24.8571,-2.47905,0.934524,0.504859,0.667932,-2.43846,0.931548,0.496939,0.661966,-2.74668,0.937798,0.0700633,-3.50505,-3.26483,-3.18583,-2.63789,-2.47103,-2.39018,-2.11656,0.931548,0.955357,0.934524,0.934524,0.931548,0.96131,0.96131,9.48788,3.33778,0.987578,0.626175,1.90605,-13.3156,16.4877,0.885714,0.735964,1.2517,9.51044,3.3151,0.987578,0.597645,1.89687,-13.2612,16.548,0.88,0.737718,1.25273,6.71823,8.09394,8.79465,9.45364,10.0336,11.6945,12.4951,0.987578,0.987578,0.987578,0.987578,1.0,0.993789,0.993789,-15.5121,-15.3185,-14.9628,-13.3636,-13.3274,-13.2936,-12.7554,0.868571,0.885714,0.914286,0.885714,0.885714,0.88,0.88,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.9434,11.1906,11.7783,0.310868,8.02704,9.3136,10.0503,11.9434,13.2275,13.6264,14.958,12.9474,14.2799,10.2632,0.539064,6.04918,6.67084,6.84186,10.4075,13.4613,14.0433,15.1282,-9999,-9999
20180226,20180304,25.598,1.0,23.944,1.176,1.0,27.12,2.51,1.0,25.799,24.418,1.091,27.069,2.201,25.598,1.0,23.944,1.176,1.0,27.12,2.51,1.0,447.509,152.522,1.0,163.072,152.522,1.0,-9999,-9999,419.183,419.183,0.0,485.871,1.0,483.708,485.871,1.0,4.415,1.0,4.272,4.415,1.0,98.719,98.719,1.0,6.785,6.785,0.0,0.924,1.187,0.892857,0.1869983494232105,0.8750000000000001,109.12170326388888,1.0,294.5578506944444,1.0,447.599,1.0,25.288,1.0,-9999,-9999,85.5518,-9999,-9999,2.22685,12.0821,-9999,-9999,0.517188,-9999,-9999,23.0,25.0,23.0,25.0,-2.22285,1.0,0.570882,0.955352,-1.92918,1.0,0.560978,0.949467,-2.01473,0.986161,0.107439,-2.98755,-2.58846,-2.4978,-2.26126,-1.65203,-1.05641,-0.827546,1.0,1.0,1.0,1.0,0.925595,0.934524,0.934524,8.80805,3.4394,1.0,0.788644,1.78283,-12.2161,15.1324,1.0,0.767615,0.834576,9.40968,3.50803,1.0,0.752347,1.76708,-12.2263,15.1438,1.0,0.773435,0.839932,7.40519,8.2908,8.59478,8.80805,11.2362,11.4886,11.7367,1.0,1.0,1.0,1.0,0.962733,0.950311,0.956522,-13.5244,-12.9283,-12.637,-12.409,-12.3404,-12.2732,-12.2263,0.931429,1.0,0.92,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.342,10.0686,10.1654,0.307844,6.79948,8.08581,9.03677,10.342,10.9036,12.5334,13.3737,11.5393,12.2492,11.8327,0.140865,10.0873,10.836,11.2681,11.7858,12.6873,12.9384,13.2512,-9999,-9999
20180305,20180311,25.793,1.0,24.418,1.144,1.0,27.058,2.224,1.0,26.004,24.741,1.029,27.165,1.946,25.793,1.0,24.418,1.144,1.0,27.058,2.224,1.0,446.059,142.082,1.0,157.005,142.082,1.0,-9999,-9999,420.922,420.922,0.0,489.883,1.0,484.862,489.883,1.0,3.591,1.0,3.903,3.591,1.0,98.719,98.712,1.0,7.164,7.164,0.0,0.868,1.076,0.809524,0.17532614075594885,0.78125,99.80375034722222,1.0,272.3617152777777,1.0,447.923,1.0,25.384,1.0,-9999,-9999,75.2742,-9999,-9999,2.07582,11.2862,-9999,-9999,0.531772,-9999,-9999,23.0,25.0,23.0,25.0,-2.0628,0.994048,0.603898,0.677194,-1.75093,0.994048,0.577464,0.653731,-1.95699,0.987574,0.057867,-2.92747,-2.27459,-2.22415,-1.91272,-1.74962,-1.66173,-1.53297,0.949405,0.991071,0.994048,0.994048,0.994048,0.994048,0.994048,8.75976,5.19622,1.0,0.831918,0.983666,-11.8756,14.2424,0.988571,0.814033,0.827531,9.25401,3.76492,1.0,0.770153,0.932012,-11.7533,14.3949,0.988571,0.799689,0.813425,7.46659,8.42456,8.72087,8.94375,9.41436,9.47434,9.75975,0.987578,1.0,1.0,1.0,1.0,1.0,1.0,-12.3219,-12.0335,-11.9899,-11.8702,-11.7626,-11.7357,-11.5027,0.982857,0.988571,0.988571,0.988571,0.988571,0.908571,0.971429,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.50275,7.86676,7.97915,0.224423,5.79076,6.35567,6.58222,8.38913,8.50275,8.81277,9.42677,11.1226,11.0741,11.0449,0.124707,9.55969,10.1539,10.3862,11.2467,11.3942,11.5017,11.7541,-9999,-9999
