#downloadDate:20230828100547
#numberOfSitesDownloaded:1
#dataFiles
SITE_ID,filename,start_year,end_year,version,filetype,timestamp
PE-QFR,AMF_PE-QFR_FLUXNET_FULLSET_YY_2018-2019_3-5.csv,2018,2019,3-5,FLUX-MET,202111010053
PE-QFR,AMF_PE-QFR_FLUXNET_FULLSET_MM_2018-2019_3-5.csv,2018,2019,3-5,FLUX-MET,202111010053
PE-QFR,AMF_PE-QFR_FLUXNET_FULLSET_DD_2018-2019_3-5.csv,2018,2019,3-5,FLUX-MET,202111010053
PE-QFR,AMF_PE-QFR_FLUXNET_FULLSET_WW_2018-2019_3-5.csv,2018,2019,3-5,FLUX-MET,202111010053
PE-QFR,AMF_PE-QFR_FLUXNET_FULLSET_HH_2018-2019_3-5.csv,2018,2019,3-5,FLUX-MET,202111010053
PE-QFR,AMF_PE-QFR_FLUXNET_AUXMETEO_2018-2019_3-5.csv,2018,2019,3-5,AUX,202111010053
PE-QFR,AMF_PE-QFR_FLUXNET_AUXNEE_2018-2019_3-5.csv,2018,2019,3-5,AUX,202111010053
PE-QFR,AMF_PE-QFR_FLUXNET_ERA5_MM_1981-2020_3-5.csv,1981,2020,3-5,AUX,202111010053
PE-QFR,AMF_PE-QFR_FLUXNET_ERA5_HH_1981-2020_3-5.csv,1981,2020,3-5,AUX,202111010053
PE-QFR,AMF_PE-QFR_FLUXNET_ERA5_DD_1981-2020_3-5.csv,1981,2020,3-5,AUX,202111010053
PE-QFR,AMF_PE-QFR_FLUXNET_ERA5_WW_1981-2020_3-5.csv,1981,2020,3-5,AUX,202111010053
PE-QFR,AMF_PE-QFR_FLUXNET_ERA5_YY_1981-2020_3-5.csv,1981,2020,3-5,AUX,202111010053
