TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
201801,25.385,1.0,23.952,1.123,1.0,26.631,2.268,1.0,25.411,24.146,0.978,26.51,1.963,25.385,1.0,23.952,1.123,1.0,26.631,2.268,1.0,439.121,152.23,1.0,144.095,152.23,1.0,-9999,-9999,417.447,417.447,0.0,483.213,1.0,482.556,483.213,1.0,3.859,1.0,3.383,3.859,1.0,98.696,98.701,0.995968,8.966,8.966,0.0,1.098,1.282,0.843414,0.21155919523737168,0.8272849462365591,111.81396566713417,0.9966397849462366,307.67885965988785,0.9966397849462366,424.431,1.0,25.123,1.0,-9999,-9999,91.8613,-9999,-9999,1.1625,18.9067,-9999,-9999,0.267135,-9999,-9999,22.2903,25.7097,21.7742,25.4194,-3.88617,0.97379,0.179247,0.464145,-3.50356,0.972446,0.173253,0.461864,-3.79778,0.953931,0.0646334,-4.40864,-4.30741,-4.23978,-3.66997,-3.47526,-3.45113,-3.28337,0.977151,0.97379,0.905914,0.97379,0.959677,0.971774,0.919355,8.20934,1.09711,0.990182,0.179655,0.802534,-14.1265,14.2619,0.959801,0.278287,0.32211,8.87855,1.08358,0.98878,0.162462,0.79886,-14.0195,14.4164,0.958511,0.276973,0.320975,7.09583,7.3941,7.51754,8.5935,8.92134,8.95843,9.1032,0.991585,0.991585,0.918526,0.990182,0.994326,0.978197,0.934591,-14.2915,-14.2736,-14.1752,-14.067,-14.0003,-13.9492,-13.8359,0.958511,0.958511,0.959801,0.959801,0.959752,0.966005,0.907097,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.87626,6.27458,8.47968,0.276351,5.58242,6.27458,6.7086,9.06839,9.30836,9.99482,10.4063,12.4197,11.2634,12.0013,0.135655,10.3481,11.0571,11.2634,12.2288,12.4724,12.9826,13.0875,-9999,-9999
201802,26.631,1.0,25.103,1.337,1.0,28.036,2.344,1.0,26.439,24.99,1.132,27.772,2.256,26.631,1.0,25.103,1.337,1.0,28.036,2.344,1.0,446.825,159.167,1.0,172.411,159.167,1.0,-9999,-9999,418.743,418.743,0.0,493.536,1.0,483.416,493.536,1.0,5.755,1.0,5.253,5.755,1.0,98.65,98.641,1.0,5.692,5.692,0.0,1.296,1.387,0.929315,0.18939285586209617,0.9293154761904763,120.60689704613095,1.0,318.0177150297619,1.0,436.518,0.998512,25.503,1.0,-9999,-9999,86.1258,-9999,-9999,1.01243,13.7402,-9999,-9999,0.24758,-9999,-9999,23.0,25.0,23.0,24.8214,-2.6733,0.897321,0.210246,0.514836,-2.61198,0.896577,0.210082,0.514769,-2.82802,0.893713,0.0597986,-3.40718,-3.37381,-3.1875,-2.71491,-2.58947,-2.43391,-2.32098,0.933036,0.933036,0.931548,0.897321,0.889881,0.855655,0.848214,8.37485,1.86073,0.92236,0.2478,1.46081,-12.651,14.55,0.874286,0.315659,0.524846,8.47883,1.87077,0.92236,0.241688,1.45978,-12.6332,14.585,0.872857,0.319332,0.527063,6.80698,7.02191,7.41248,8.39558,9.24454,9.90118,10.0121,0.987578,0.987578,0.984472,0.92236,0.703416,0.864907,0.864907,-13.8815,-13.4896,-13.4305,-12.7554,-12.676,-12.651,-12.5047,0.801429,0.825714,0.87,0.885714,0.874286,0.874286,0.882857,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.7039,8.85251,9.76371,0.227389,7.39959,8.27832,8.76052,9.99969,10.7039,10.8861,11.1946,9.68626,11.9625,10.5507,0.188814,8.61924,9.36547,9.47711,10.6517,11.7389,11.8082,11.9625,-9999,-9999
201803,25.988,1.0,24.464,1.121,1.0,27.41,2.363,1.0,26.084,24.758,0.982,27.322,2.058,25.988,1.0,24.464,1.121,1.0,27.41,2.363,1.0,442.238,158.332,1.0,154.401,158.332,1.0,-9999,-9999,421.323,421.323,0.0,484.866,1.0,485.128,484.866,1.0,4.195,1.0,3.895,4.195,1.0,98.687,98.681,0.979167,8.975,8.975,0.0,1.02,1.181,0.809812,0.19673086729623443,0.7715053763440861,121.73032448252687,1.0,321.78564180107526,1.0,444.936,1.0,25.435,1.0,-9999,-9999,90.5606,-9999,-9999,1.05133,15.3634,-9999,-9999,0.269507,-9999,-9999,23.1613,24.8387,23.1613,24.8387,-2.86397,0.99328,0.282775,0.427211,-2.60478,0.99328,0.275761,0.422601,-2.97139,0.986475,0.0442889,-3.52031,-3.32164,-3.19383,-2.98186,-2.71988,-2.68117,-2.65741,0.931452,0.957661,0.986559,0.99328,0.99328,0.992608,0.992608,8.83216,4.54662,1.0,0.396875,0.633068,-13.5823,14.8813,0.987043,0.374621,0.399778,9.26378,4.1089,1.0,0.382302,0.624036,-13.5022,15.003,0.987043,0.369633,0.395107,7.8746,8.24342,8.43011,8.72945,9.18024,9.22986,9.29715,0.976157,0.976157,1.0,1.0,0.991585,1.0,0.976157,-14.0393,-13.854,-13.8109,-13.7244,-13.593,-13.5749,-13.5266,0.981828,0.988333,0.987043,0.950753,0.981828,0.987043,0.987043,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.34705,9.12045,9.06405,0.121733,7.73142,8.18359,8.65049,9.16741,9.33611,9.3741,9.92263,11.9876,11.9702,11.862,0.0617884,11.2055,11.3642,11.5621,11.9173,11.9957,12.0778,12.2893,-9999,-9999
201804,25.478,0.715278,24.284,0.919,0.730435,26.577,2.171,0.701333,25.275,24.141,0.769,26.318,1.813,25.294,0.715278,24.189,0.836,0.730435,26.312,1.981,0.701333,419.81,139.498,0.718056,136.087,130.005,0.718056,-9999,-9999,419.395,419.395,0.0,483.048,0.715278,483.849,485.609,0.715278,3.361,0.715278,2.876,2.912,0.715278,98.845,98.844,0.698611,10.075,10.075,0.0,1.072,1.19,0.645139,0.17220932244286374,0.6145833333333334,102.65420177138446,0.6854166666666667,284.50037048059966,0.6854166666666667,451.494,0.713889,25.152,1.0,-9999,-9999,70.0733,-9999,-9999,1.03587,14.7372,-9999,-9999,0.255026,-9999,-9999,23.0,25.0,23.0,24.9,-3.32526,0.695833,0.248085,0.422797,-3.22746,0.695833,0.241288,0.418845,-3.21925,0.680642,0.0564329,-3.71084,-3.60009,-3.41009,-3.22189,-3.10282,-2.91537,-2.48169,0.695833,0.695833,0.695833,0.695833,0.684028,0.661111,0.613889,3.91989,6.046,0.730435,0.350822,1.24281,-9.75871,11.0998,0.664,0.326355,0.744029,4.09519,5.96899,0.730435,0.344612,1.24107,-9.73903,11.1875,0.664,0.314236,0.738794,3.29959,3.38423,3.86672,4.18272,4.67437,5.76877,7.12709,0.730435,0.715942,0.730435,0.730435,0.730435,0.697101,0.64058,-11.2899,-11.0487,-9.95812,-9.83325,-9.74754,-9.7114,-9.64374,0.617333,0.622667,0.664,0.664,0.664,0.664,0.662667,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.63396,7.60774,7.75976,0.178803,5.63998,6.58071,6.89434,7.63396,8.60239,9.18495,9.46434,8.70138,8.74941,8.68268,0.102032,7.41977,7.97334,8.24826,8.60903,9.31576,9.46066,9.58334,-9999,-9999
201805,25.353,1.0,24.294,0.815,1.0,26.327,1.879,1.0,25.421,24.275,0.833,26.476,1.759,25.353,1.0,24.294,0.815,1.0,26.327,1.879,1.0,390.195,128.493,0.988575,130.582,129.662,0.988575,-9999,-9999,418.451,418.451,0.0,485.602,0.988575,483.223,485.386,0.988575,2.603,1.0,3.121,2.603,1.0,98.919,98.912,0.999328,8.81,8.81,0.0,0.938,1.078,0.81922,0.17926412620584972,0.793010752688172,91.92774903965052,1.0,296.29711895161284,1.0,448.171,1.0,25.125,1.0,-9999,-9999,64.5177,-9999,-9999,1.10034,9.74709,-9999,-9999,0.225034,-9999,-9999,23.0,25.0,23.0,25.0,-1.92657,0.958333,0.230014,0.368673,-1.83657,0.958333,0.22584,0.366084,-1.95903,0.948908,0.0572941,-2.90694,-2.30889,-2.07322,-1.94029,-1.80304,-1.73265,-1.46768,0.946909,0.948253,0.961022,0.964382,0.958333,0.954973,0.950941,5.60964,5.08805,1.0,0.336322,0.517864,-8.72541,10.0682,0.92,0.292188,0.360386,5.791,4.9862,1.0,0.329266,0.51331,-8.72574,10.1054,0.92,0.287809,0.356845,4.35239,5.26037,5.41373,5.55223,5.95094,6.04795,6.65681,0.997195,0.918654,1.0,1.0,1.0,0.997195,0.998597,-9.38262,-9.12662,-8.86414,-8.78147,-8.72541,-8.70469,-8.43648,0.900645,0.864516,0.912258,0.925161,0.92,0.922581,0.931613,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.68622,8.15112,7.67504,0.220061,4.83555,5.53704,7.39743,8.01272,8.54137,8.83409,9.30301,8.14249,8.62374,8.17331,0.191217,5.16431,7.15643,8.14249,8.54827,8.79999,8.95125,9.26907,-9999,-9999
201806,24.49,0.825694,23.376,1.037,0.841667,25.572,1.889,0.810444,24.664,23.345,0.964,25.951,1.946,24.739,0.825694,23.519,1.07,0.841667,25.93,1.953,0.810444,372.189,137.613,0.828472,131.552,144.782,0.828472,-9999,-9999,411.286,411.286,0.0,467.375,0.825694,478.469,470.545,0.825694,3.255,0.825694,3.697,3.489,0.825694,99.085,99.072,0.802778,5.34,5.34,0.0,1.232,1.222,0.357639,-9999,-9999,96.71487286397239,0.7854166666666667,302.66571614583336,0.7854166666666667,441.691,0.656944,24.658,1.0,-9999,-9999,75.0788,-9999,-9999,1.06241,12.1026,-9999,-9999,0.290041,-9999,-9999,23.6333,24.3667,18.1,18.4333,-1.03929,0.479861,0.237786,1.04814,-1.13601,0.479861,0.236205,1.04779,-1.38321,0.468958,0.137937,-2.7951,-2.67681,-2.22295,-1.014,-0.677931,-0.635179,-0.342717,0.439583,0.421528,0.474306,0.479861,0.481944,0.48125,0.481944,5.75127,3.47411,0.380556,0.367964,1.55261,-7.56115,9.2068,0.580167,0.27475,0.667208,5.6213,3.40817,0.380556,0.366833,1.55234,-7.61247,9.23838,0.580167,0.271599,0.665917,2.68688,3.05673,3.52983,5.50157,5.80242,6.07348,6.23413,0.331884,0.361051,0.380556,0.381944,0.380556,0.381944,0.381944,-8.12051,-7.92564,-7.81762,-7.59695,-6.74042,-6.70961,-6.69369,0.544278,0.537333,0.549667,0.580167,0.582944,0.582944,0.582944,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.34052,7.18868,7.64764,0.161362,6.31678,6.65094,7.05718,7.34418,7.52876,9.10631,9.74449,7.14693,7.22608,7.69522,0.0855842,7.12526,7.16566,7.22546,7.37138,8.17899,8.44686,8.5227,-9999,-9999
201807,25.436,1.0,24.117,1.372,1.0,26.756,2.376,1.0,25.176,23.593,1.265,26.759,2.369,25.436,1.0,24.117,1.372,1.0,26.756,2.376,1.0,377.927,161.351,1.0,155.454,161.351,1.0,-9999,-9999,410.716,410.716,0.0,476.394,1.0,478.092,476.394,1.0,4.412,1.0,3.97,4.412,1.0,99.032,99.016,0.997312,4.864,4.864,0.0,1.0,1.017,0.0752688,-9999,-9999,107.40464171771272,0.9986559139784946,316.90980922744274,0.9986559139784946,430.371,0.479167,24.831,1.0,-9999,-9999,84.0198,-9999,-9999,5.75077,11.2241,-9999,-9999,1.50206,-9999,-9999,24.0,24.0,0.0,1.45161,0.473899,0.289651,0.640464,0.799132,0.378108,0.289651,0.640464,0.799132,0.149763,0.27006,0.0794447,-1.21129,-0.367493,-0.163292,0.427114,0.496303,0.588368,0.647231,0.206317,0.221774,0.288978,0.290995,0.289651,0.289651,0.289651,7.6037,1.9659,0.0,-9999,-9999,-6.69035,9.18046,0.579301,0.617181,0.63314,7.41983,1.9984,0.0,-9999,-9999,-6.6911,9.18345,0.579301,0.617181,0.63314,4.56773,6.12669,6.35053,7.5019,7.66169,7.75381,7.87991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.96763,-6.87446,-6.78131,-6.69098,-6.64488,-6.59194,-6.52187,0.334677,0.517473,0.580645,0.579301,0.579301,0.577957,0.455645,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.16356,4.76412,6.13472,0.355186,4.28393,4.43907,4.79366,4.99642,6.36551,9.60674,11.0649,5.53777,5.43486,6.40963,0.231986,5.36393,5.44264,5.46424,5.56805,6.83284,8.00941,10.0177,-9999,-9999
201808,25.093,1.0,23.743,1.28,1.0,26.418,2.541,1.0,24.957,23.373,1.111,26.505,2.409,25.093,1.0,23.743,1.28,1.0,26.418,2.541,1.0,402.571,175.474,1.0,165.472,175.474,1.0,-9999,-9999,412.209,412.209,0.0,472.025,1.0,479.082,472.025,1.0,4.195,1.0,3.666,4.195,1.0,99.05,99.047,1.0,5.747,5.747,0.0,1.094,1.129,0.301747,-9999,-9999,121.46565780241936,1.0,343.56996841397853,1.0,434.095,0.68414,24.813,1.0,-9999,-9999,86.894,-9999,-9999,1.12391,15.5346,-9999,-9999,0.361826,-9999,-9999,23.7419,24.2581,19.0,16.6774,0.216398,0.577957,0.192995,0.517323,0.262855,0.577957,0.18979,0.516136,0.502418,0.570128,0.123713,-0.496767,0.0248711,0.169522,0.289599,0.72909,0.984822,1.4634,0.582661,0.579973,0.577957,0.579973,0.571909,0.560484,0.560484,8.87621,2.13851,0.571237,0.257498,0.866134,-8.29669,9.51496,0.585538,0.268762,0.298492,8.95387,2.15138,0.571237,0.251877,0.86448,-8.28488,9.53954,0.585538,0.265961,0.295972,7.73597,8.62767,8.83897,9.08222,9.7312,10.2816,11.0771,0.579301,0.573925,0.571237,0.549556,0.568548,0.568548,0.568373,-8.53158,-8.40369,-8.37681,-8.29669,-8.17882,-8.14397,-8.04264,0.586882,0.586882,0.594892,0.585538,0.589462,0.577366,0.528011,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.54154,7.11159,8.09149,0.283095,6.1963,6.54552,6.89455,7.46521,9.23177,10.2361,11.4028,8.15195,8.06767,8.70045,0.167537,7.67598,7.80082,8.01535,8.27228,9.64107,10.0128,10.7994,-9999,-9999
201809,26.549,1.0,24.697,1.477,1.0,28.253,3.07,1.0,26.209,24.324,1.271,27.943,2.82,26.549,1.0,24.697,1.477,1.0,28.253,3.07,1.0,428.41,201.609,1.0,192.161,201.609,1.0,-9999,-9999,413.662,413.662,0.0,484.501,1.0,480.046,484.501,1.0,6.233,1.0,4.925,6.233,1.0,98.746,98.725,1.0,4.792,4.792,0.0,1.023,1.128,0.465972,-9999,-9999,144.87998352777777,1.0,407.10985208333335,1.0,445.426,0.984028,25.297,1.0,-9999,-9999,96.9294,-9999,-9999,1.26714,16.4913,-9999,-9999,0.37113,-9999,-9999,23.0,25.0,23.0,25.0,-0.410618,0.873611,0.211216,0.600201,-0.364053,0.873611,0.211903,0.600442,-0.304688,0.857014,0.0800015,-0.921187,-0.889661,-0.845285,-0.410618,0.20436,0.233955,0.592522,0.890278,0.879861,0.890972,0.873611,0.84375,0.868056,0.729861,7.97358,2.72605,0.949275,0.303568,1.1533,-8.09541,10.5739,0.804,0.27335,0.296759,8.06035,2.68228,0.949275,0.306273,1.15402,-8.08909,10.5825,0.804,0.272614,0.296081,7.16737,7.20415,7.29844,7.97358,9.07622,9.42941,10.1783,0.968116,0.952174,0.966667,0.949275,0.949275,0.926087,0.811594,-8.78597,-8.30514,-8.28132,-8.24878,-8.09654,-8.0741,-7.95547,0.702667,0.821333,0.725333,0.817333,0.804,0.804,0.784,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.67738,8.0348,8.47216,0.307567,5.77974,7.16184,7.31073,8.1533,8.62517,9.10046,11.9522,8.51344,8.46052,8.87921,0.189444,7.63847,8.13573,8.31096,8.51124,8.6016,9.29156,11.2584,-9999,-9999
201810,26.332,0.844086,24.92,1.165,0.858345,27.63,2.41,0.830968,26.164,24.775,1.01,27.441,2.098,26.248,0.844086,24.811,1.153,0.858345,27.571,2.418,0.830968,441.136,170.713,0.846774,159.28,173.532,0.846774,-9999,-9999,422.166,422.166,0.0,490.48,0.844086,485.687,488.766,0.844086,4.358,0.844086,3.728,4.212,0.844086,98.678,98.663,0.827957,7.102,7.102,0.0,0.968,1.139,0.71707,0.18231792676598577,0.6955645161290323,123.19906415,0.8064516129032258,356.57389416666666,0.8064516129032258,445.407,0.842742,25.455,1.0,-9999,-9999,85.1487,-9999,-9999,1.04995,17.6775,-9999,-9999,0.221967,-9999,-9999,23.0,25.0,23.0,24.9677,-0.774964,0.807124,0.256997,0.474891,-0.876607,0.807796,0.248175,0.470175,-0.828424,0.802554,0.0647622,-1.84065,-1.2033,-0.975654,-0.795518,-0.611513,-0.404618,-0.23809,0.790995,0.80578,0.80578,0.807124,0.800403,0.806452,0.799059,7.51689,5.01932,0.856942,0.38004,0.779116,-8.34938,11.524,0.76129,0.322202,0.480633,7.33583,4.76389,0.858345,0.365716,0.77223,-8.37086,11.4306,0.76129,0.312416,0.474128,6.72633,7.1245,7.21387,7.48843,7.97655,8.48478,8.74553,0.85554,0.856942,0.85554,0.856942,0.851332,0.847125,0.852735,-9.79619,-9.01963,-8.53116,-8.37665,-8.32629,-8.30635,-8.24505,0.735484,0.747097,0.749677,0.76129,0.763871,0.76129,0.762581,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.59522,7.59464,9.57554,0.337131,6.95211,7.34156,7.46152,9.57564,11.1732,12.334,13.2008,9.45545,9.55824,10.1458,0.129829,9.23196,9.40296,9.45545,9.9299,10.8314,10.9471,11.7525,-9999,-9999
