MOD17A3HGF.A2001001.h12v09.006.2020136134922.Npp_QC_500m,MOD17A3HGF,A2001001,Lat-2.8567Lon-54.9589Samp17Line17,2020136134922,68.0,71.0,83.0,79.0,79.0,79.0,82.0,82.0,77.0,83.0,79.0,79.0,79.0,76.0,72.0,72.0,70.0,68.0,79.0,82.0,84.0,85.0,75.0,72.0,61.0,76.0,79.0,79.0,76.0,74.0,74.0,76.0,74.0,76.0,74.0,79.0,75.0,81.0,77.0,76.0,70.0,68.0,72.0,68.0,63.0,65.0,79.0,81.0,74.0,74.0,76.0,65.0,72.0,74.0,70.0,79.0,76.0,72.0,72.0,79.0,70.0,72.0,83.0,79.0,76.0,79.0,79.0,79.0,61.0,65.0,79.0,79.0,79.0,83.0,81.0,76.0,68.0,74.0,76.0,83.0,76.0,70.0,72.0,74.0,79.0,63.0,65.0,76.0,72.0,79.0,74.0,74.0,74.0,76.0,79.0,74.0,76.0,72.0,70.0,76.0,72.0,76.0,79.0,79.0,74.0,76.0,79.0,70.0,72.0,70.0,74.0,79.0,79.0,76.0,70.0,79.0,74.0,72.0,74.0,74.0,85.0,81.0,79.0,74.0,68.0,72.0,76.0,70.0,74.0,76.0,68.0,65.0,72.0,71.0,70.0,68.0,72.0,83.0,74.0,74.0,79.0,81.0,72.0,81.0,75.0,63.0,76.0,76.0,68.0,79.0,87.0,74.0,76.0,76.0,74.0,74.0,83.0,74.0,63.0,70.0,72.0,77.0,72.0,68.0,74.0,81.0,81.0,79.0,79.0,79.0,77.0,77.0,76.0,83.0,79.0,72.0,76.0,70.0,71.0,75.0,74.0,76.0,76.0,79.0,77.0,75.0,68.0,81.0,81.0,76.0,83.0,76.0,79.0,81.0,79.0,81.0,83.0,76.0,79.0,79.0,81.0,79.0,76.0,68.0,81.0,81.0,85.0,85.0,81.0,74.0,81.0,72.0,85.0,81.0,81.0,79.0,87.0,76.0,74.0,77.0,79.0,79.0,76.0,76.0,79.0,83.0,76.0,85.0,85.0,85.0,85.0,76.0,72.0,79.0,79.0,75.0,71.0,81.0,76.0,79.0,79.0,74.0,83.0,81.0,79.0,76.0,79.0,83.0,76.0,74.0,74.0,81.0,76.0,71.0,71.0,85.0,85.0,81.0,74.0,72.0,74.0,76.0,70.0,70.0,74.0,72.0,72.0,79.0,72.0,74.0,70.0,68.0,83.0,83.0,81.0,76.0,76.0,76.0,79.0,72.0,74.0,82.0,79.0,76.0,81.0,76.0,74.0,81.0,81.0
MOD17A3HGF.A2002001.h12v09.006.2020143160646.Npp_QC_500m,MOD17A3HGF,A2002001,Lat-2.8567Lon-54.9589Samp17Line17,2020143160646,65.0,72.0,76.0,72.0,70.0,65.0,72.0,70.0,63.0,59.0,65.0,70.0,63.0,61.0,70.0,65.0,68.0,70.0,71.0,66.0,70.0,70.0,65.0,68.0,74.0,74.0,70.0,65.0,54.0,52.0,54.0,59.0,74.0,70.0,72.0,77.0,71.0,81.0,72.0,68.0,65.0,74.0,74.0,70.0,60.0,55.0,61.0,54.0,61.0,61.0,63.0,76.0,72.0,65.0,68.0,65.0,76.0,72.0,76.0,74.0,72.0,71.0,66.0,70.0,57.0,61.0,70.0,68.0,68.0,65.0,63.0,63.0,63.0,81.0,72.0,76.0,76.0,70.0,65.0,61.0,63.0,63.0,65.0,61.0,68.0,72.0,63.0,63.0,72.0,76.0,83.0,81.0,79.0,72.0,70.0,79.0,65.0,72.0,70.0,72.0,57.0,61.0,68.0,68.0,63.0,74.0,83.0,81.0,79.0,74.0,79.0,83.0,76.0,72.0,70.0,68.0,65.0,68.0,68.0,76.0,70.0,68.0,70.0,79.0,85.0,74.0,72.0,79.0,83.0,83.0,72.0,70.0,70.0,65.0,70.0,74.0,81.0,74.0,79.0,68.0,72.0,76.0,74.0,68.0,74.0,70.0,68.0,72.0,61.0,70.0,70.0,72.0,70.0,65.0,76.0,79.0,81.0,79.0,81.0,74.0,74.0,72.0,72.0,65.0,76.0,70.0,70.0,70.0,70.0,74.0,76.0,81.0,79.0,76.0,72.0,74.0,72.0,63.0,72.0,70.0,74.0,74.0,79.0,74.0,72.0,63.0,68.0,76.0,79.0,70.0,76.0,79.0,79.0,74.0,70.0,83.0,79.0,76.0,81.0,76.0,70.0,76.0,68.0,65.0,79.0,81.0,81.0,79.0,79.0,74.0,63.0,68.0,70.0,74.0,74.0,70.0,68.0,65.0,63.0,61.0,63.0,79.0,76.0,81.0,74.0,83.0,68.0,63.0,65.0,65.0,81.0,83.0,79.0,72.0,72.0,68.0,74.0,65.0,76.0,72.0,76.0,74.0,74.0,72.0,79.0,65.0,74.0,68.0,70.0,72.0,65.0,72.0,81.0,81.0,74.0,81.0,72.0,72.0,76.0,72.0,76.0,83.0,74.0,76.0,76.0,72.0,63.0,63.0,72.0,74.0,79.0,74.0,76.0,70.0,70.0,72.0,63.0,68.0,70.0,70.0,83.0,79.0,76.0,74.0,70.0,85.0,81.0,81.0,65.0
MOD17A3HGF.A2003001.h12v09.006.2020168120319.Npp_QC_500m,MOD17A3HGF,A2003001,Lat-2.8567Lon-54.9589Samp17Line17,2020168120319,76.0,71.0,61.0,68.0,70.0,72.0,81.0,85.0,79.0,73.0,68.0,79.0,79.0,72.0,70.0,70.0,79.0,68.0,68.0,75.0,70.0,70.0,72.0,76.0,83.0,81.0,83.0,76.0,76.0,76.0,81.0,74.0,76.0,70.0,74.0,76.0,65.0,72.0,72.0,76.0,79.0,79.0,81.0,81.0,79.0,85.0,81.0,81.0,72.0,76.0,76.0,68.0,79.0,76.0,74.0,81.0,83.0,81.0,85.0,81.0,83.0,85.0,77.0,86.0,81.0,83.0,74.0,70.0,68.0,68.0,76.0,81.0,79.0,83.0,79.0,76.0,79.0,83.0,81.0,68.0,75.0,72.0,83.0,72.0,79.0,68.0,73.0,72.0,70.0,83.0,83.0,74.0,79.0,79.0,85.0,87.0,79.0,79.0,74.0,85.0,76.0,74.0,68.0,66.0,61.0,72.0,79.0,81.0,81.0,81.0,77.0,77.0,77.0,83.0,76.0,79.0,81.0,85.0,81.0,70.0,74.0,65.0,68.0,68.0,81.0,81.0,70.0,65.0,72.0,68.0,66.0,72.0,70.0,81.0,85.0,76.0,79.0,81.0,70.0,68.0,65.0,72.0,74.0,68.0,81.0,70.0,70.0,72.0,74.0,70.0,79.0,85.0,81.0,73.0,68.0,70.0,74.0,68.0,76.0,76.0,79.0,85.0,83.0,76.0,81.0,74.0,72.0,70.0,72.0,76.0,73.0,79.0,76.0,79.0,72.0,81.0,70.0,79.0,85.0,81.0,74.0,76.0,79.0,81.0,79.0,76.0,76.0,79.0,74.0,64.0,70.0,76.0,79.0,79.0,81.0,85.0,85.0,83.0,83.0,79.0,76.0,85.0,74.0,74.0,83.0,83.0,73.0,76.0,83.0,79.0,87.0,79.0,79.0,85.0,81.0,83.0,74.0,79.0,83.0,83.0,74.0,71.0,75.0,73.0,73.0,79.0,70.0,79.0,83.0,83.0,74.0,76.0,79.0,87.0,79.0,85.0,83.0,83.0,76.0,76.0,74.0,71.0,74.0,72.0,81.0,85.0,81.0,87.0,90.0,90.0,92.0,83.0,81.0,74.0,81.0,79.0,85.0,73.0,79.0,81.0,79.0,85.0,87.0,83.0,79.0,87.0,90.0,83.0,87.0,87.0,79.0,74.0,81.0,79.0,76.0,75.0,71.0,86.0,86.0,79.0,85.0,79.0,85.0,87.0,83.0,83.0,85.0,83.0,83.0
MOD17A3HGF.A2004001.h12v09.006.2020243083317.Npp_QC_500m,MOD17A3HGF,A2004001,Lat-2.8567Lon-54.9589Samp17Line17,2020243083317,64.0,66.0,66.0,66.0,70.0,76.0,72.0,68.0,63.0,63.0,66.0,74.0,70.0,64.0,73.0,64.0,70.0,77.0,70.0,68.0,73.0,73.0,73.0,66.0,60.0,63.0,61.0,72.0,68.0,62.0,70.0,66.0,68.0,66.0,68.0,70.0,74.0,64.0,57.0,60.0,62.0,68.0,68.0,68.0,72.0,66.0,66.0,70.0,74.0,62.0,70.0,57.0,55.0,70.0,60.0,60.0,57.0,53.0,70.0,70.0,73.0,62.0,70.0,72.0,68.0,68.0,70.0,73.0,59.0,68.0,68.0,57.0,64.0,57.0,68.0,73.0,62.0,66.0,77.0,73.0,70.0,68.0,66.0,70.0,66.0,57.0,72.0,70.0,61.0,70.0,68.0,83.0,83.0,79.0,76.0,81.0,72.0,74.0,72.0,70.0,72.0,74.0,68.0,61.0,59.0,61.0,70.0,61.0,70.0,74.0,76.0,76.0,81.0,74.0,74.0,83.0,73.0,73.0,75.0,70.0,68.0,68.0,68.0,61.0,70.0,74.0,70.0,76.0,74.0,76.0,72.0,72.0,83.0,79.0,72.0,79.0,66.0,70.0,68.0,68.0,52.0,61.0,72.0,74.0,76.0,81.0,76.0,76.0,74.0,70.0,72.0,72.0,81.0,70.0,79.0,72.0,68.0,72.0,70.0,70.0,66.0,76.0,76.0,79.0,79.0,74.0,85.0,70.0,66.0,76.0,72.0,72.0,83.0,79.0,72.0,68.0,74.0,76.0,76.0,79.0,85.0,68.0,79.0,74.0,66.0,70.0,70.0,61.0,61.0,70.0,68.0,74.0,74.0,81.0,79.0,79.0,70.0,83.0,70.0,76.0,76.0,76.0,74.0,68.0,68.0,72.0,76.0,83.0,81.0,81.0,79.0,81.0,81.0,79.0,83.0,74.0,70.0,72.0,72.0,74.0,74.0,66.0,72.0,72.0,76.0,76.0,74.0,68.0,79.0,83.0,90.0,74.0,81.0,87.0,68.0,70.0,73.0,77.0,70.0,70.0,70.0,70.0,74.0,66.0,66.0,70.0,83.0,79.0,74.0,81.0,76.0,70.0,66.0,64.0,76.0,79.0,72.0,59.0,68.0,79.0,74.0,76.0,68.0,68.0,72.0,72.0,74.0,72.0,68.0,72.0,68.0,63.0,85.0,66.0,68.0,76.0,79.0,76.0,74.0,68.0,63.0,68.0,74.0,79.0,85.0,73.0,79.0,79.0,72.0
MOD17A3HGF.A2005001.h12v09.006.2020258195107.Npp_QC_500m,MOD17A3HGF,A2005001,Lat-2.8567Lon-54.9589Samp17Line17,2020258195107,63.0,68.0,70.0,70.0,65.0,72.0,70.0,70.0,65.0,65.0,70.0,68.0,72.0,74.0,70.0,74.0,65.0,74.0,74.0,70.0,68.0,65.0,65.0,70.0,68.0,65.0,63.0,72.0,76.0,74.0,70.0,68.0,65.0,63.0,61.0,72.0,74.0,63.0,68.0,68.0,79.0,70.0,68.0,63.0,74.0,74.0,76.0,68.0,70.0,65.0,59.0,74.0,65.0,72.0,70.0,70.0,65.0,65.0,76.0,74.0,65.0,68.0,72.0,74.0,65.0,63.0,74.0,63.0,65.0,65.0,65.0,70.0,72.0,76.0,74.0,74.0,70.0,65.0,70.0,79.0,81.0,74.0,70.0,72.0,65.0,68.0,65.0,70.0,74.0,76.0,70.0,76.0,76.0,72.0,79.0,74.0,79.0,79.0,72.0,72.0,74.0,72.0,72.0,70.0,65.0,70.0,79.0,79.0,72.0,70.0,70.0,74.0,72.0,76.0,72.0,72.0,74.0,74.0,79.0,72.0,65.0,63.0,65.0,68.0,74.0,76.0,70.0,72.0,74.0,68.0,72.0,63.0,72.0,70.0,74.0,68.0,72.0,74.0,74.0,72.0,65.0,65.0,68.0,70.0,79.0,76.0,70.0,74.0,72.0,65.0,63.0,65.0,70.0,63.0,72.0,74.0,72.0,72.0,65.0,72.0,72.0,65.0,65.0,70.0,72.0,65.0,59.0,68.0,65.0,61.0,68.0,68.0,74.0,72.0,79.0,70.0,70.0,72.0,76.0,74.0,72.0,70.0,76.0,65.0,70.0,72.0,81.0,63.0,59.0,68.0,65.0,65.0,68.0,74.0,68.0,76.0,65.0,74.0,68.0,72.0,68.0,65.0,72.0,79.0,65.0,61.0,63.0,70.0,74.0,65.0,74.0,70.0,72.0,68.0,74.0,76.0,74.0,68.0,63.0,65.0,70.0,70.0,63.0,65.0,72.0,70.0,65.0,65.0,63.0,70.0,70.0,63.0,68.0,74.0,65.0,65.0,59.0,68.0,70.0,65.0,74.0,65.0,65.0,74.0,79.0,70.0,72.0,74.0,79.0,74.0,76.0,74.0,74.0,59.0,59.0,61.0,57.0,57.0,65.0,70.0,79.0,79.0,74.0,76.0,70.0,79.0,81.0,72.0,72.0,65.0,65.0,59.0,61.0,57.0,63.0,59.0,63.0,74.0,68.0,76.0,81.0,70.0,72.0,72.0,65.0,70.0,72.0,65.0,68.0
MOD17A3HGF.A2006001.h12v09.006.2021059081129.Npp_QC_500m,MOD17A3HGF,A2006001,Lat-2.8567Lon-54.9589Samp17Line17,2021059081129,63.0,64.0,61.0,61.0,59.0,65.0,63.0,61.0,68.0,74.0,70.0,71.0,72.0,70.0,74.0,70.0,68.0,72.0,72.0,65.0,72.0,65.0,72.0,72.0,61.0,65.0,70.0,72.0,76.0,72.0,70.0,68.0,65.0,65.0,74.0,70.0,61.0,70.0,63.0,65.0,70.0,70.0,70.0,72.0,74.0,79.0,72.0,72.0,65.0,70.0,72.0,63.0,63.0,54.0,59.0,72.0,61.0,63.0,68.0,68.0,70.0,73.0,79.0,72.0,68.0,65.0,74.0,72.0,61.0,57.0,59.0,63.0,68.0,65.0,65.0,68.0,68.0,72.0,75.0,79.0,72.0,72.0,72.0,74.0,74.0,68.0,65.0,59.0,61.0,65.0,65.0,65.0,68.0,63.0,64.0,68.0,66.0,70.0,74.0,81.0,74.0,79.0,70.0,68.0,68.0,68.0,70.0,74.0,70.0,65.0,65.0,70.0,73.0,72.0,70.0,68.0,70.0,72.0,76.0,63.0,68.0,72.0,74.0,68.0,68.0,65.0,63.0,63.0,72.0,81.0,70.0,68.0,63.0,63.0,68.0,76.0,63.0,72.0,79.0,75.0,73.0,72.0,65.0,70.0,70.0,76.0,72.0,65.0,74.0,73.0,68.0,76.0,72.0,76.0,70.0,70.0,75.0,75.0,75.0,65.0,72.0,70.0,79.0,79.0,70.0,71.0,62.0,72.0,72.0,70.0,68.0,64.0,70.0,72.0,74.0,76.0,72.0,65.0,68.0,70.0,81.0,74.0,71.0,68.0,70.0,72.0,72.0,72.0,65.0,70.0,76.0,70.0,68.0,72.0,70.0,79.0,72.0,74.0,74.0,79.0,68.0,72.0,72.0,72.0,68.0,63.0,74.0,72.0,74.0,74.0,75.0,72.0,74.0,72.0,79.0,68.0,64.0,70.0,72.0,65.0,65.0,79.0,81.0,70.0,79.0,63.0,57.0,72.0,79.0,83.0,76.0,79.0,68.0,63.0,74.0,77.0,77.0,63.0,72.0,70.0,72.0,74.0,63.0,68.0,65.0,74.0,75.0,76.0,74.0,76.0,68.0,68.0,70.0,79.0,68.0,76.0,72.0,70.0,68.0,70.0,65.0,70.0,65.0,68.0,82.0,71.0,73.0,72.0,72.0,70.0,70.0,61.0,70.0,68.0,70.0,72.0,72.0,72.0,68.0,68.0,63.0,72.0,76.0,76.0,72.0,70.0,68.0,70.0,68.0
MOD17A3HGF.A2007001.h12v09.006.2021089151859.Npp_QC_500m,MOD17A3HGF,A2007001,Lat-2.8567Lon-54.9589Samp17Line17,2021089151859,72.0,76.0,79.0,79.0,72.0,72.0,76.0,81.0,74.0,79.0,79.0,72.0,72.0,74.0,83.0,79.0,79.0,79.0,83.0,81.0,76.0,74.0,68.0,76.0,79.0,81.0,76.0,72.0,74.0,74.0,74.0,79.0,76.0,76.0,76.0,76.0,83.0,83.0,79.0,76.0,76.0,74.0,70.0,70.0,74.0,74.0,72.0,76.0,81.0,76.0,70.0,68.0,74.0,72.0,72.0,76.0,85.0,74.0,79.0,81.0,74.0,81.0,72.0,72.0,72.0,74.0,74.0,83.0,72.0,65.0,70.0,70.0,72.0,74.0,74.0,74.0,79.0,74.0,76.0,76.0,74.0,76.0,68.0,74.0,76.0,72.0,76.0,74.0,68.0,63.0,72.0,76.0,79.0,79.0,79.0,74.0,68.0,76.0,81.0,81.0,79.0,76.0,74.0,72.0,72.0,79.0,76.0,74.0,76.0,76.0,79.0,72.0,68.0,72.0,81.0,76.0,76.0,76.0,79.0,65.0,74.0,74.0,65.0,74.0,76.0,79.0,83.0,76.0,72.0,72.0,79.0,74.0,81.0,72.0,72.0,74.0,74.0,74.0,76.0,79.0,81.0,81.0,74.0,79.0,74.0,74.0,74.0,79.0,70.0,74.0,72.0,68.0,72.0,85.0,81.0,68.0,72.0,74.0,76.0,83.0,79.0,72.0,76.0,85.0,70.0,74.0,72.0,72.0,70.0,76.0,73.0,73.0,71.0,79.0,68.0,74.0,74.0,79.0,79.0,79.0,83.0,70.0,70.0,74.0,74.0,68.0,74.0,81.0,72.0,74.0,83.0,72.0,76.0,74.0,81.0,81.0,79.0,76.0,72.0,76.0,70.0,76.0,81.0,79.0,79.0,74.0,74.0,74.0,83.0,77.0,71.0,77.0,76.0,82.0,77.0,75.0,70.0,79.0,79.0,74.0,79.0,83.0,70.0,79.0,76.0,76.0,81.0,76.0,74.0,79.0,85.0,79.0,79.0,76.0,68.0,68.0,72.0,72.0,76.0,79.0,76.0,72.0,74.0,79.0,79.0,71.0,74.0,81.0,85.0,75.0,74.0,79.0,68.0,74.0,70.0,83.0,81.0,70.0,76.0,72.0,70.0,71.0,68.0,73.0,75.0,82.0,76.0,74.0,74.0,74.0,76.0,76.0,79.0,76.0,79.0,81.0,74.0,74.0,71.0,70.0,74.0,79.0,74.0,70.0,74.0,70.0,81.0,74.0,74.0
MOD17A3HGF.A2008001.h12v09.006.2021148145948.Npp_QC_500m,MOD17A3HGF,A2008001,Lat-2.8567Lon-54.9589Samp17Line17,2021148145948,74.0,74.0,66.0,63.0,68.0,70.0,76.0,72.0,68.0,63.0,62.0,68.0,61.0,61.0,66.0,68.0,68.0,70.0,66.0,76.0,79.0,72.0,68.0,79.0,72.0,74.0,66.0,68.0,70.0,70.0,74.0,68.0,68.0,72.0,72.0,70.0,79.0,70.0,81.0,76.0,74.0,66.0,66.0,70.0,70.0,76.0,74.0,70.0,66.0,61.0,66.0,63.0,68.0,76.0,81.0,81.0,72.0,70.0,66.0,66.0,68.0,70.0,74.0,66.0,59.0,63.0,63.0,70.0,66.0,57.0,66.0,72.0,79.0,83.0,72.0,74.0,66.0,68.0,66.0,63.0,61.0,63.0,70.0,76.0,72.0,72.0,63.0,72.0,70.0,74.0,74.0,76.0,72.0,70.0,74.0,72.0,72.0,68.0,68.0,66.0,70.0,66.0,68.0,66.0,74.0,66.0,74.0,79.0,76.0,72.0,68.0,68.0,72.0,74.0,74.0,76.0,72.0,66.0,72.0,66.0,68.0,68.0,72.0,74.0,83.0,79.0,66.0,74.0,76.0,70.0,70.0,76.0,74.0,74.0,72.0,76.0,66.0,70.0,74.0,70.0,76.0,72.0,79.0,72.0,76.0,83.0,79.0,76.0,72.0,68.0,72.0,81.0,74.0,76.0,79.0,66.0,79.0,79.0,74.0,74.0,74.0,83.0,76.0,74.0,72.0,74.0,72.0,74.0,79.0,68.0,85.0,81.0,81.0,79.0,81.0,83.0,81.0,83.0,85.0,79.0,81.0,70.0,72.0,72.0,68.0,68.0,72.0,74.0,83.0,74.0,70.0,72.0,76.0,72.0,79.0,79.0,79.0,74.0,74.0,79.0,70.0,74.0,76.0,74.0,74.0,74.0,74.0,72.0,74.0,76.0,70.0,72.0,79.0,83.0,83.0,74.0,74.0,75.0,81.0,79.0,76.0,68.0,85.0,79.0,68.0,74.0,76.0,72.0,76.0,81.0,83.0,76.0,79.0,70.0,81.0,79.0,75.0,74.0,72.0,87.0,83.0,68.0,68.0,68.0,74.0,81.0,81.0,76.0,74.0,79.0,72.0,74.0,76.0,76.0,70.0,70.0,74.0,72.0,70.0,66.0,74.0,74.0,81.0,72.0,75.0,68.0,74.0,72.0,76.0,74.0,76.0,68.0,63.0,76.0,81.0,76.0,70.0,72.0,76.0,74.0,68.0,70.0,77.0,75.0,72.0,72.0,74.0,74.0,70.0
MOD17A3HGF.A2009001.h12v09.006.2021157000002.Npp_QC_500m,MOD17A3HGF,A2009001,Lat-2.8567Lon-54.9589Samp17Line17,2021157000002,61.0,57.0,63.0,57.0,65.0,59.0,61.0,59.0,63.0,68.0,68.0,62.0,60.0,65.0,63.0,68.0,68.0,63.0,70.0,65.0,63.0,68.0,61.0,65.0,65.0,54.0,61.0,60.0,60.0,66.0,61.0,59.0,61.0,61.0,76.0,79.0,72.0,68.0,70.0,72.0,70.0,70.0,68.0,68.0,62.0,64.0,66.0,59.0,62.0,63.0,63.0,68.0,68.0,70.0,72.0,70.0,76.0,68.0,59.0,65.0,68.0,66.0,64.0,66.0,59.0,68.0,59.0,61.0,70.0,63.0,68.0,76.0,72.0,76.0,72.0,68.0,65.0,72.0,65.0,65.0,68.0,68.0,63.0,65.0,63.0,63.0,61.0,72.0,74.0,74.0,74.0,74.0,72.0,65.0,68.0,65.0,65.0,63.0,68.0,59.0,57.0,59.0,63.0,65.0,61.0,68.0,63.0,72.0,76.0,76.0,68.0,68.0,74.0,65.0,68.0,65.0,61.0,61.0,61.0,70.0,65.0,68.0,70.0,63.0,65.0,72.0,79.0,72.0,74.0,61.0,76.0,74.0,70.0,63.0,68.0,68.0,74.0,68.0,76.0,70.0,76.0,79.0,70.0,74.0,74.0,72.0,70.0,74.0,72.0,83.0,76.0,79.0,72.0,70.0,68.0,64.0,71.0,76.0,76.0,72.0,76.0,70.0,65.0,70.0,68.0,70.0,72.0,68.0,70.0,74.0,76.0,74.0,70.0,70.0,70.0,74.0,79.0,74.0,70.0,68.0,74.0,70.0,76.0,70.0,68.0,73.0,71.0,68.0,62.0,68.0,71.0,74.0,71.0,68.0,68.0,74.0,70.0,70.0,68.0,72.0,74.0,65.0,70.0,72.0,68.0,79.0,77.0,77.0,76.0,72.0,70.0,68.0,72.0,74.0,68.0,65.0,65.0,70.0,68.0,59.0,68.0,71.0,75.0,77.0,75.0,74.0,70.0,70.0,72.0,68.0,70.0,72.0,65.0,70.0,68.0,71.0,76.0,74.0,68.0,68.0,73.0,77.0,68.0,70.0,76.0,72.0,79.0,68.0,70.0,72.0,63.0,63.0,76.0,79.0,79.0,61.0,65.0,64.0,68.0,73.0,72.0,63.0,68.0,70.0,63.0,70.0,72.0,75.0,74.0,79.0,74.0,68.0,68.0,65.0,68.0,74.0,72.0,61.0,68.0,70.0,68.0,70.0,63.0,79.0,72.0,72.0,76.0,76.0,68.0
MOD17A3HGF.A2010001.h12v09.006.2021186014346.Npp_QC_500m,MOD17A3HGF,A2010001,Lat-2.8567Lon-54.9589Samp17Line17,2021186014346,70.0,70.0,68.0,70.0,74.0,70.0,74.0,70.0,63.0,65.0,65.0,68.0,70.0,65.0,70.0,68.0,68.0,79.0,70.0,79.0,72.0,72.0,63.0,68.0,70.0,63.0,61.0,63.0,63.0,70.0,68.0,72.0,74.0,68.0,63.0,70.0,76.0,72.0,72.0,76.0,72.0,70.0,74.0,74.0,63.0,59.0,61.0,65.0,63.0,72.0,74.0,72.0,68.0,68.0,72.0,74.0,63.0,63.0,74.0,70.0,76.0,70.0,65.0,65.0,70.0,70.0,72.0,68.0,63.0,61.0,63.0,70.0,70.0,68.0,70.0,65.0,65.0,65.0,68.0,63.0,68.0,70.0,70.0,70.0,70.0,65.0,70.0,74.0,79.0,74.0,65.0,65.0,72.0,68.0,59.0,59.0,57.0,68.0,68.0,74.0,79.0,70.0,59.0,61.0,61.0,63.0,68.0,63.0,65.0,74.0,74.0,81.0,68.0,59.0,72.0,65.0,63.0,72.0,74.0,70.0,74.0,76.0,81.0,79.0,68.0,72.0,72.0,72.0,68.0,68.0,68.0,65.0,68.0,61.0,68.0,74.0,72.0,76.0,79.0,87.0,81.0,68.0,72.0,68.0,72.0,68.0,72.0,57.0,57.0,57.0,57.0,61.0,65.0,70.0,72.0,79.0,76.0,68.0,65.0,70.0,70.0,61.0,61.0,66.0,63.0,59.0,63.0,61.0,61.0,70.0,76.0,79.0,70.0,68.0,68.0,63.0,68.0,68.0,72.0,65.0,60.0,61.0,63.0,65.0,65.0,65.0,65.0,65.0,72.0,70.0,68.0,68.0,70.0,68.0,63.0,65.0,72.0,72.0,63.0,68.0,72.0,76.0,68.0,72.0,68.0,70.0,68.0,72.0,70.0,72.0,72.0,68.0,74.0,72.0,74.0,72.0,70.0,72.0,74.0,74.0,70.0,70.0,70.0,68.0,76.0,68.0,68.0,70.0,63.0,65.0,72.0,74.0,74.0,74.0,74.0,74.0,74.0,68.0,72.0,68.0,70.0,68.0,70.0,68.0,68.0,65.0,59.0,63.0,68.0,63.0,68.0,68.0,74.0,72.0,76.0,70.0,61.0,65.0,72.0,74.0,65.0,68.0,65.0,68.0,65.0,65.0,70.0,61.0,65.0,68.0,68.0,74.0,74.0,65.0,72.0,76.0,76.0,76.0,81.0,76.0,74.0,76.0,70.0,68.0,70.0,72.0,70.0,65.0,72.0
