system:time_start,Gpp,PsnNet,Psn_QC
"Jan 1, 2021",667,310,105
"Jan 9, 2021",796,434,97
"Jan 17, 2021",728,391,105
"Jan 25, 2021",763,424,105
"Feb 2, 2021",704,370,97
"Feb 10, 2021",584,265,105
"Feb 18, 2021",689,348,105
"Feb 26, 2021",635,334,105
"Mar 6, 2021",695,420,105
"Mar 14, 2021",656,408,105
"Mar 22, 2021",708,369,8
"Mar 30, 2021",590,408,105
"Apr 7, 2021",530,344,105
"Apr 15, 2021",490,308,105
"Apr 23, 2021",542,350,113
"May 1, 2021",549,356,105
"May 9, 2021",544,272,97
"May 17, 2021",581,249,48
"May 25, 2021",235,191,0
"Jun 2, 2021",591,283,8
"Jun 10, 2021",603,317,97
"Jun 18, 2021",625,301,32
"Jun 26, 2021",627,330,32
"Jul 4, 2021",548,284,0
"Jul 12, 2021",688,434,32
"Jul 20, 2021",774,449,32
"Jul 28, 2021",690,375,32
"Aug 5, 2021",782,417,32
"Aug 13, 2021",641,303,32
"Aug 21, 2021",705,394,32
"Aug 29, 2021",659,305,32
"Sep 6, 2021",724,380,48
"Sep 14, 2021",637,288,32
"Sep 22, 2021",536,223,97
"Sep 30, 2021",643,418,0
"Oct 8, 2021",739,362,0
"Oct 16, 2021",559,193,113
"Oct 24, 2021",605,282,105
"Nov 1, 2021",657,382,97
"Nov 9, 2021",637,283,113
"Nov 17, 2021",687,322,105
"Nov 25, 2021",253,213,8
"Dec 3, 2021",217,178,105
"Dec 11, 2021",198,158,105
"Dec 19, 2021",216,178,113
"Dec 27, 2021",105,83,16
"Jan 1, 2022",688,371,97
"Jan 9, 2022",660,339,16
"Jan 17, 2022",697,365,105
"Jan 25, 2022",588,283,105
"Feb 2, 2022",677,350,105
"Feb 10, 2022",638,319,97
"Feb 18, 2022",649,322,8
"Feb 26, 2022",613,285,105
"Mar 6, 2022",679,348,105
"Mar 14, 2022",588,412,97
"Mar 22, 2022",855,505,8
"Mar 30, 2022",588,412,105
"Apr 7, 2022",593,410,105
"Apr 15, 2022",515,324,48
"Apr 23, 2022",536,348,105
"May 1, 2022",599,404,48
"May 9, 2022",588,377,113
"May 17, 2022",635,303,105
"May 25, 2022",529,386,8
"Jun 2, 2022",454,191,32
"Jun 10, 2022",680,376,32
"Jun 18, 2022",696,386,32
"Jun 26, 2022",614,299,48
"Jul 4, 2022",860,561,32
"Jul 12, 2022",767,454,32
"Jul 20, 2022",758,420,97
"Jul 28, 2022",678,362,32
"Aug 5, 2022",742,377,97
"Aug 13, 2022",797,434,32
"Aug 21, 2022",615,280,97
"Aug 29, 2022",721,383,48
"Sep 6, 2022",687,326,32
"Sep 14, 2022",804,440,97
"Sep 22, 2022",821,454,32
"Sep 30, 2022",615,391,113
"Oct 8, 2022",563,224,48
"Oct 24, 2022",561,241,105
"Nov 1, 2022",701,434,105
"Nov 9, 2022",743,424,105
"Nov 17, 2022",620,260,105
"Nov 25, 2022",617,266,105
"Dec 3, 2022",803,452,8
"Dec 11, 2022",704,341,97
"Dec 19, 2022",667,320,16
"Dec 27, 2022",413,200,105
