system:time_start,Gpp,Npp,Npp_QC
"Jan 1, 2001","28,222","11,276",75
"Jan 1, 2002","27,076","10,673",74
"Jan 1, 2003","31,326","12,857",81
"Jan 1, 2004","30,125","12,011",76
"Jan 1, 2005","27,829","12,695",79
"Jan 1, 2006","31,298","13,229",70
"Jan 1, 2007","29,449","13,535",74
"Jan 1, 2008","28,380","11,047",76
"Jan 1, 2009","30,932","12,145",74
"Jan 1, 2010","29,445","11,974",72
"Jan 1, 2011","29,336","12,367",70
"Jan 1, 2012","30,126","11,038",75
"Jan 1, 2013","28,320","12,383",79
"Jan 1, 2014","26,276","12,235",71
"Jan 1, 2015","27,567","11,789",68
"Jan 1, 2016","29,651","10,174",85
"Jan 1, 2017","30,575","11,860",85
"Jan 1, 2018","29,655","13,451",81
"Jan 1, 2019","28,284","12,206",74
"Jan 1, 2020","29,844","11,675",72
"Jan 1, 2021","21,440","8,923",70
"Jan 1, 2022","30,948","12,705",81
